age,County,Population,FIP,Total,age_sort,year,merger
5 to 9 years,"Jefferson County, West Virginia",1808,WV_037,54650,5,2010-2014,"5 to 9 yearsJefferson County, West Virginia"
10 to 14 years,"District of Columbia, District of Columbia",12370,DC_001,633736,10,2010-2014,"10 to 14 yearsDistrict of Columbia, District of Columbia"
10 to 14 years,"Calvert County, Maryland",4067,MD_009,89793,10,2010-2014,"10 to 14 yearsCalvert County, Maryland"
10 to 14 years,"Charles County, Maryland",6047,MD_017,150960,10,2010-2014,"10 to 14 yearsCharles County, Maryland"
10 to 14 years,"Frederick County, Maryland",9174,MD_021,239253,10,2010-2014,"10 to 14 yearsFrederick County, Maryland"
10 to 14 years,"Montgomery County, Maryland",33713,MD_031,1005087,10,2010-2014,"10 to 14 yearsMontgomery County, Maryland"
10 to 14 years,"Prince George's County, Maryland",28633,MD_033,884764,10,2010-2014,"10 to 14 yearsPrince George's County, Maryland"
10 to 14 years,"Arlington County, Virginia",4411,VA_013,220173,10,2010-2014,"10 to 14 yearsArlington County, Virginia"
10 to 14 years,"Clarke County, Virginia",321,VA_043,14273,10,2010-2014,"10 to 14 yearsClarke County, Virginia"
10 to 14 years,"Culpeper County, Virginia",1956,VA_047,47910,10,2010-2014,"10 to 14 yearsCulpeper County, Virginia"
10 to 14 years,"Fairfax County, Virginia",37926,VA_059,1117072,10,2010-2014,"10 to 14 yearsFairfax County, Virginia"
10 to 14 years,"Fauquier County, Virginia",2500,VA_061,66726,10,2010-2014,"10 to 14 yearsFauquier County, Virginia"
10 to 14 years,"Loudoun County, Virginia",14121,VA_107,338916,10,2010-2014,"10 to 14 yearsLoudoun County, Virginia"
10 to 14 years,"Prince William County, Virginia",16414,VA_153,428772,10,2010-2014,"10 to 14 yearsPrince William County, Virginia"
10 to 14 years,"Rappahannock County, Virginia",246,VA_157,7446,10,2010-2014,"10 to 14 yearsRappahannock County, Virginia"
10 to 14 years,"Spotsylvania County, Virginia",5211,VA_177,126200,10,2010-2014,"10 to 14 yearsSpotsylvania County, Virginia"
10 to 14 years,"Stafford County, Virginia",5941,VA_179,134672,10,2010-2014,"10 to 14 yearsStafford County, Virginia"
10 to 14 years,"Warren County, Virginia",1229,VA_187,38142,10,2010-2014,"10 to 14 yearsWarren County, Virginia"
10 to 14 years,"Alexandria city, Virginia",2365,VA_510,146422,10,2010-2014,"10 to 14 yearsAlexandria city, Virginia"
10 to 14 years,"Fairfax city, Virginia",718,VA_600,23507,10,2010-2014,"10 to 14 yearsFairfax city, Virginia"
10 to 14 years,"Falls Church city, Virginia",471,VA_610,13074,10,2010-2014,"10 to 14 yearsFalls Church city, Virginia"
10 to 14 years,"Fredericksburg city, Virginia",745,VA_630,26632,10,2010-2014,"10 to 14 yearsFredericksburg city, Virginia"
10 to 14 years,"Manassas city, Virginia",1629,VA_683,40436,10,2010-2014,"10 to 14 yearsManassas city, Virginia"
10 to 14 years,"Manassas Park city, Virginia",540,VA_685,14992,10,2010-2014,"10 to 14 yearsManassas Park city, Virginia"
10 to 14 years,"Jefferson County, West Virginia",1905,WV_037,54650,10,2010-2014,"10 to 14 yearsJefferson County, West Virginia"
15 to 17 years,"District of Columbia, District of Columbia",7923,DC_001,633736,15,2010-2014,"15 to 17 yearsDistrict of Columbia, District of Columbia"
15 to 17 years,"Calvert County, Maryland",2328,MD_009,89793,15,2010-2014,"15 to 17 yearsCalvert County, Maryland"
15 to 17 years,"Charles County, Maryland",3838,MD_017,150960,15,2010-2014,"15 to 17 yearsCharles County, Maryland"
15 to 17 years,"Frederick County, Maryland",5491,MD_021,239253,15,2010-2014,"15 to 17 yearsFrederick County, Maryland"
15 to 17 years,"Montgomery County, Maryland",20672,MD_031,1005087,15,2010-2014,"15 to 17 yearsMontgomery County, Maryland"
15 to 17 years,"Prince George's County, Maryland",17506,MD_033,884764,15,2010-2014,"15 to 17 yearsPrince George's County, Maryland"
15 to 17 years,"Arlington County, Virginia",2349,VA_013,220173,15,2010-2014,"15 to 17 yearsArlington County, Virginia"
15 to 17 years,"Clarke County, Virginia",283,VA_043,14273,15,2010-2014,"15 to 17 yearsClarke County, Virginia"
15 to 17 years,"Culpeper County, Virginia",951,VA_047,47910,15,2010-2014,"15 to 17 yearsCulpeper County, Virginia"
15 to 17 years,"Fairfax County, Virginia",23171,VA_059,1117072,15,2010-2014,"15 to 17 yearsFairfax County, Virginia"
15 to 17 years,"Fauquier County, Virginia",1466,VA_061,66726,15,2010-2014,"15 to 17 yearsFauquier County, Virginia"
15 to 17 years,"Loudoun County, Virginia",7606,VA_107,338916,15,2010-2014,"15 to 17 yearsLoudoun County, Virginia"
15 to 17 years,"Prince William County, Virginia",9775,VA_153,428772,15,2010-2014,"15 to 17 yearsPrince William County, Virginia"
15 to 17 years,"Rappahannock County, Virginia",108,VA_157,7446,15,2010-2014,"15 to 17 yearsRappahannock County, Virginia"
15 to 17 years,"Spotsylvania County, Virginia",3178,VA_177,126200,15,2010-2014,"15 to 17 yearsSpotsylvania County, Virginia"
15 to 17 years,"Stafford County, Virginia",3641,VA_179,134672,15,2010-2014,"15 to 17 yearsStafford County, Virginia"
15 to 17 years,"Warren County, Virginia",778,VA_187,38142,15,2010-2014,"15 to 17 yearsWarren County, Virginia"
15 to 17 years,"Alexandria city, Virginia",1577,VA_510,146422,15,2010-2014,"15 to 17 yearsAlexandria city, Virginia"
15 to 17 years,"Fairfax city, Virginia",360,VA_600,23507,15,2010-2014,"15 to 17 yearsFairfax city, Virginia"
15 to 17 years,"Falls Church city, Virginia",269,VA_610,13074,15,2010-2014,"15 to 17 yearsFalls Church city, Virginia"
15 to 17 years,"Fredericksburg city, Virginia",345,VA_630,26632,15,2010-2014,"15 to 17 yearsFredericksburg city, Virginia"
15 to 17 years,"Manassas city, Virginia",790,VA_683,40436,15,2010-2014,"15 to 17 yearsManassas city, Virginia"
15 to 17 years,"Manassas Park city, Virginia",311,VA_685,14992,15,2010-2014,"15 to 17 yearsManassas Park city, Virginia"
15 to 17 years,"Jefferson County, West Virginia",923,WV_037,54650,15,2010-2014,"15 to 17 yearsJefferson County, West Virginia"
18 and 19 years,"District of Columbia, District of Columbia",10439,DC_001,633736,18,2010-2014,"18 and 19 yearsDistrict of Columbia, District of Columbia"
18 and 19 years,"Calvert County, Maryland",1306,MD_009,89793,18,2010-2014,"18 and 19 yearsCalvert County, Maryland"
18 and 19 years,"Charles County, Maryland",2091,MD_017,150960,18,2010-2014,"18 and 19 yearsCharles County, Maryland"
18 and 19 years,"Frederick County, Maryland",3365,MD_021,239253,18,2010-2014,"18 and 19 yearsFrederick County, Maryland"
18 and 19 years,"Montgomery County, Maryland",11564,MD_031,1005087,18,2010-2014,"18 and 19 yearsMontgomery County, Maryland"
18 and 19 years,"Prince George's County, Maryland",15230,MD_033,884764,18,2010-2014,"18 and 19 yearsPrince George's County, Maryland"
18 and 19 years,"Arlington County, Virginia",1465,VA_013,220173,18,2010-2014,"18 and 19 yearsArlington County, Virginia"
18 and 19 years,"Clarke County, Virginia",172,VA_043,14273,18,2010-2014,"18 and 19 yearsClarke County, Virginia"
18 and 19 years,"Culpeper County, Virginia",624,VA_047,47910,18,2010-2014,"18 and 19 yearsCulpeper County, Virginia"
18 and 19 years,"Fairfax County, Virginia",13794,VA_059,1117072,18,2010-2014,"18 and 19 yearsFairfax County, Virginia"
18 and 19 years,"Fauquier County, Virginia",746,VA_061,66726,18,2010-2014,"18 and 19 yearsFauquier County, Virginia"
18 and 19 years,"Loudoun County, Virginia",3762,VA_107,338916,18,2010-2014,"18 and 19 yearsLoudoun County, Virginia"
18 and 19 years,"Prince William County, Virginia",5551,VA_153,428772,18,2010-2014,"18 and 19 yearsPrince William County, Virginia"
18 and 19 years,"Rappahannock County, Virginia",43,VA_157,7446,18,2010-2014,"18 and 19 yearsRappahannock County, Virginia"
18 and 19 years,"Spotsylvania County, Virginia",1748,VA_177,126200,18,2010-2014,"18 and 19 yearsSpotsylvania County, Virginia"
18 and 19 years,"Stafford County, Virginia",2034,VA_179,134672,18,2010-2014,"18 and 19 yearsStafford County, Virginia"
18 and 19 years,"Warren County, Virginia",492,VA_187,38142,18,2010-2014,"18 and 19 yearsWarren County, Virginia"
18 and 19 years,"Alexandria city, Virginia",901,VA_510,146422,18,2010-2014,"18 and 19 yearsAlexandria city, Virginia"
18 and 19 years,"Fairfax city, Virginia",257,VA_600,23507,18,2010-2014,"18 and 19 yearsFairfax city, Virginia"
18 and 19 years,"Falls Church city, Virginia",69,VA_610,13074,18,2010-2014,"18 and 19 yearsFalls Church city, Virginia"
18 and 19 years,"Fredericksburg city, Virginia",463,VA_630,26632,18,2010-2014,"18 and 19 yearsFredericksburg city, Virginia"
18 and 19 years,"Manassas city, Virginia",492,VA_683,40436,18,2010-2014,"18 and 19 yearsManassas city, Virginia"
18 and 19 years,"Manassas Park city, Virginia",205,VA_685,14992,18,2010-2014,"18 and 19 yearsManassas Park city, Virginia"
18 and 19 years,"Jefferson County, West Virginia",875,WV_037,54650,18,2010-2014,"18 and 19 yearsJefferson County, West Virginia"
20 years,"District of Columbia, District of Columbia",6015,DC_001,633736,20,2010-2014,"20 yearsDistrict of Columbia, District of Columbia"
20 years,"Calvert County, Maryland",660,MD_009,89793,20,2010-2014,"20 yearsCalvert County, Maryland"
20 years,"Charles County, Maryland",1019,MD_017,150960,20,2010-2014,"20 yearsCharles County, Maryland"
20 years,"Frederick County, Maryland",1475,MD_021,239253,20,2010-2014,"20 yearsFrederick County, Maryland"
20 years,"Montgomery County, Maryland",5087,MD_031,1005087,20,2010-2014,"20 yearsMontgomery County, Maryland"
20 years,"Prince George's County, Maryland",8040,MD_033,884764,20,2010-2014,"20 yearsPrince George's County, Maryland"
20 years,"Arlington County, Virginia",935,VA_013,220173,20,2010-2014,"20 yearsArlington County, Virginia"
20 years,"Clarke County, Virginia",93,VA_043,14273,20,2010-2014,"20 yearsClarke County, Virginia"
20 years,"Culpeper County, Virginia",347,VA_047,47910,20,2010-2014,"20 yearsCulpeper County, Virginia"
20 years,"Fairfax County, Virginia",5331,VA_059,1117072,20,2010-2014,"20 yearsFairfax County, Virginia"
20 years,"Fauquier County, Virginia",266,VA_061,66726,20,2010-2014,"20 yearsFauquier County, Virginia"
20 years,"Loudoun County, Virginia",1364,VA_107,338916,20,2010-2014,"20 yearsLoudoun County, Virginia"
20 years,"Prince William County, Virginia",3433,VA_153,428772,20,2010-2014,"20 yearsPrince William County, Virginia"
20 years,"Rappahannock County, Virginia",67,VA_157,7446,20,2010-2014,"20 yearsRappahannock County, Virginia"
20 years,"Spotsylvania County, Virginia",1003,VA_177,126200,20,2010-2014,"20 yearsSpotsylvania County, Virginia"
20 years,"Stafford County, Virginia",944,VA_179,134672,20,2010-2014,"20 yearsStafford County, Virginia"
20 years,"Warren County, Virginia",181,VA_187,38142,20,2010-2014,"20 yearsWarren County, Virginia"
20 years,"Alexandria city, Virginia",624,VA_510,146422,20,2010-2014,"20 yearsAlexandria city, Virginia"
20 years,"Fairfax city, Virginia",81,VA_600,23507,20,2010-2014,"20 yearsFairfax city, Virginia"
20 years,"Falls Church city, Virginia",134,VA_610,13074,20,2010-2014,"20 yearsFalls Church city, Virginia"
20 years,"Fredericksburg city, Virginia",534,VA_630,26632,20,2010-2014,"20 yearsFredericksburg city, Virginia"
20 years,"Manassas city, Virginia",506,VA_683,40436,20,2010-2014,"20 yearsManassas city, Virginia"
20 years,"Manassas Park city, Virginia",67,VA_685,14992,20,2010-2014,"20 yearsManassas Park city, Virginia"
20 years,"Jefferson County, West Virginia",256,WV_037,54650,20,2010-2014,"20 yearsJefferson County, West Virginia"
21 years,"District of Columbia, District of Columbia",5353,DC_001,633736,21,2010-2014,"21 yearsDistrict of Columbia, District of Columbia"
21 years,"Calvert County, Maryland",590,MD_009,89793,21,2010-2014,"21 yearsCalvert County, Maryland"
21 years,"Charles County, Maryland",908,MD_017,150960,21,2010-2014,"21 yearsCharles County, Maryland"
21 years,"Frederick County, Maryland",1443,MD_021,239253,21,2010-2014,"21 yearsFrederick County, Maryland"
21 years,"Montgomery County, Maryland",4883,MD_031,1005087,21,2010-2014,"21 yearsMontgomery County, Maryland"
21 years,"Prince George's County, Maryland",7493,MD_033,884764,21,2010-2014,"21 yearsPrince George's County, Maryland"
21 years,"Arlington County, Virginia",780,VA_013,220173,21,2010-2014,"21 yearsArlington County, Virginia"
21 years,"Clarke County, Virginia",49,VA_043,14273,21,2010-2014,"21 yearsClarke County, Virginia"
21 years,"Culpeper County, Virginia",242,VA_047,47910,21,2010-2014,"21 yearsCulpeper County, Virginia"
21 years,"Fairfax County, Virginia",5839,VA_059,1117072,21,2010-2014,"21 yearsFairfax County, Virginia"
21 years,"Fauquier County, Virginia",459,VA_061,66726,21,2010-2014,"21 yearsFauquier County, Virginia"
21 years,"Loudoun County, Virginia",1205,VA_107,338916,21,2010-2014,"21 yearsLoudoun County, Virginia"
21 years,"Prince William County, Virginia",3112,VA_153,428772,21,2010-2014,"21 yearsPrince William County, Virginia"
21 years,"Rappahannock County, Virginia",10,VA_157,7446,21,2010-2014,"21 yearsRappahannock County, Virginia"
21 years,"Spotsylvania County, Virginia",916,VA_177,126200,21,2010-2014,"21 yearsSpotsylvania County, Virginia"
21 years,"Stafford County, Virginia",1035,VA_179,134672,21,2010-2014,"21 yearsStafford County, Virginia"
21 years,"Warren County, Virginia",154,VA_187,38142,21,2010-2014,"21 yearsWarren County, Virginia"
21 years,"Alexandria city, Virginia",399,VA_510,146422,21,2010-2014,"21 yearsAlexandria city, Virginia"
21 years,"Fairfax city, Virginia",242,VA_600,23507,21,2010-2014,"21 yearsFairfax city, Virginia"
21 years,"Falls Church city, Virginia",39,VA_610,13074,21,2010-2014,"21 yearsFalls Church city, Virginia"
21 years,"Fredericksburg city, Virginia",410,VA_630,26632,21,2010-2014,"21 yearsFredericksburg city, Virginia"
21 years,"Manassas city, Virginia",266,VA_683,40436,21,2010-2014,"21 yearsManassas city, Virginia"
21 years,"Manassas Park city, Virginia",151,VA_685,14992,21,2010-2014,"21 yearsManassas Park city, Virginia"
21 years,"Jefferson County, West Virginia",493,WV_037,54650,21,2010-2014,"21 yearsJefferson County, West Virginia"
22 to 24 years,"District of Columbia, District of Columbia",16118,DC_001,633736,22,2010-2014,"22 to 24 yearsDistrict of Columbia, District of Columbia"
22 to 24 years,"Calvert County, Maryland",1488,MD_009,89793,22,2010-2014,"22 to 24 yearsCalvert County, Maryland"
22 to 24 years,"Charles County, Maryland",3046,MD_017,150960,22,2010-2014,"22 to 24 yearsCharles County, Maryland"
22 to 24 years,"Frederick County, Maryland",4360,MD_021,239253,22,2010-2014,"22 to 24 yearsFrederick County, Maryland"
22 to 24 years,"Montgomery County, Maryland",18281,MD_031,1005087,22,2010-2014,"22 to 24 yearsMontgomery County, Maryland"
22 to 24 years,"Prince George's County, Maryland",21072,MD_033,884764,22,2010-2014,"22 to 24 yearsPrince George's County, Maryland"
22 to 24 years,"Arlington County, Virginia",5938,VA_013,220173,22,2010-2014,"22 to 24 yearsArlington County, Virginia"
22 to 24 years,"Clarke County, Virginia",178,VA_043,14273,22,2010-2014,"22 to 24 yearsClarke County, Virginia"
22 to 24 years,"Culpeper County, Virginia",894,VA_047,47910,22,2010-2014,"22 to 24 yearsCulpeper County, Virginia"
22 to 24 years,"Fairfax County, Virginia",21002,VA_059,1117072,22,2010-2014,"22 to 24 yearsFairfax County, Virginia"
22 to 24 years,"Fauquier County, Virginia",1008,VA_061,66726,22,2010-2014,"22 to 24 yearsFauquier County, Virginia"
22 to 24 years,"Loudoun County, Virginia",5098,VA_107,338916,22,2010-2014,"22 to 24 yearsLoudoun County, Virginia"
22 to 24 years,"Prince William County, Virginia",7413,VA_153,428772,22,2010-2014,"22 to 24 yearsPrince William County, Virginia"
22 to 24 years,"Rappahannock County, Virginia",118,VA_157,7446,22,2010-2014,"22 to 24 yearsRappahannock County, Virginia"
22 to 24 years,"Spotsylvania County, Virginia",1985,VA_177,126200,22,2010-2014,"22 to 24 yearsSpotsylvania County, Virginia"
22 to 24 years,"Stafford County, Virginia",3618,VA_179,134672,22,2010-2014,"22 to 24 yearsStafford County, Virginia"
22 to 24 years,"Warren County, Virginia",855,VA_187,38142,22,2010-2014,"22 to 24 yearsWarren County, Virginia"
22 to 24 years,"Alexandria city, Virginia",2469,VA_510,146422,22,2010-2014,"22 to 24 yearsAlexandria city, Virginia"
22 to 24 years,"Fairfax city, Virginia",507,VA_600,23507,22,2010-2014,"22 to 24 yearsFairfax city, Virginia"
22 to 24 years,"Falls Church city, Virginia",369,VA_610,13074,22,2010-2014,"22 to 24 yearsFalls Church city, Virginia"
22 to 24 years,"Fredericksburg city, Virginia",703,VA_630,26632,22,2010-2014,"22 to 24 yearsFredericksburg city, Virginia"
22 to 24 years,"Manassas city, Virginia",898,VA_683,40436,22,2010-2014,"22 to 24 yearsManassas city, Virginia"
22 to 24 years,"Manassas Park city, Virginia",330,VA_685,14992,22,2010-2014,"22 to 24 yearsManassas Park city, Virginia"
22 to 24 years,"Jefferson County, West Virginia",1030,WV_037,54650,22,2010-2014,"22 to 24 yearsJefferson County, West Virginia"
25 to 29 years,"District of Columbia, District of Columbia",34583,DC_001,633736,25,2010-2014,"25 to 29 yearsDistrict of Columbia, District of Columbia"
25 to 29 years,"Calvert County, Maryland",2412,MD_009,89793,25,2010-2014,"25 to 29 yearsCalvert County, Maryland"
25 to 29 years,"Charles County, Maryland",4543,MD_017,150960,25,2010-2014,"25 to 29 yearsCharles County, Maryland"
25 to 29 years,"Frederick County, Maryland",7044,MD_021,239253,25,2010-2014,"25 to 29 yearsFrederick County, Maryland"
25 to 29 years,"Montgomery County, Maryland",33117,MD_031,1005087,25,2010-2014,"25 to 29 yearsMontgomery County, Maryland"
25 to 29 years,"Prince George's County, Maryland",33577,MD_033,884764,25,2010-2014,"25 to 29 yearsPrince George's County, Maryland"
25 to 29 years,"Arlington County, Virginia",16714,VA_013,220173,25,2010-2014,"25 to 29 yearsArlington County, Virginia"
25 to 29 years,"Clarke County, Virginia",323,VA_043,14273,25,2010-2014,"25 to 29 yearsClarke County, Virginia"
25 to 29 years,"Culpeper County, Virginia",1370,VA_047,47910,25,2010-2014,"25 to 29 yearsCulpeper County, Virginia"
25 to 29 years,"Fairfax County, Virginia",40050,VA_059,1117072,25,2010-2014,"25 to 29 yearsFairfax County, Virginia"
25 to 29 years,"Fauquier County, Virginia",1769,VA_061,66726,25,2010-2014,"25 to 29 yearsFauquier County, Virginia"
25 to 29 years,"Loudoun County, Virginia",9220,VA_107,338916,25,2010-2014,"25 to 29 yearsLoudoun County, Virginia"
25 to 29 years,"Prince William County, Virginia",14918,VA_153,428772,25,2010-2014,"25 to 29 yearsPrince William County, Virginia"
25 to 29 years,"Rappahannock County, Virginia",186,VA_157,7446,25,2010-2014,"25 to 29 yearsRappahannock County, Virginia"
25 to 29 years,"Spotsylvania County, Virginia",3703,VA_177,126200,25,2010-2014,"25 to 29 yearsSpotsylvania County, Virginia"
25 to 29 years,"Stafford County, Virginia",4759,VA_179,134672,25,2010-2014,"25 to 29 yearsStafford County, Virginia"
25 to 29 years,"Warren County, Virginia",999,VA_187,38142,25,2010-2014,"25 to 29 yearsWarren County, Virginia"
25 to 29 years,"Alexandria city, Virginia",7985,VA_510,146422,25,2010-2014,"25 to 29 yearsAlexandria city, Virginia"
25 to 29 years,"Fairfax city, Virginia",946,VA_600,23507,25,2010-2014,"25 to 29 yearsFairfax city, Virginia"
25 to 29 years,"Falls Church city, Virginia",408,VA_610,13074,25,2010-2014,"25 to 29 yearsFalls Church city, Virginia"
25 to 29 years,"Fredericksburg city, Virginia",1386,VA_630,26632,25,2010-2014,"25 to 29 yearsFredericksburg city, Virginia"
25 to 29 years,"Manassas city, Virginia",1597,VA_683,40436,25,2010-2014,"25 to 29 yearsManassas city, Virginia"
25 to 29 years,"Manassas Park city, Virginia",655,VA_685,14992,25,2010-2014,"25 to 29 yearsManassas Park city, Virginia"
25 to 29 years,"Jefferson County, West Virginia",1376,WV_037,54650,25,2010-2014,"25 to 29 yearsJefferson County, West Virginia"
30 to 34 years,"District of Columbia, District of Columbia",31120,DC_001,633736,30,2010-2014,"30 to 34 yearsDistrict of Columbia, District of Columbia"
30 to 34 years,"Calvert County, Maryland",2233,MD_009,89793,30,2010-2014,"30 to 34 yearsCalvert County, Maryland"
30 to 34 years,"Charles County, Maryland",4233,MD_017,150960,30,2010-2014,"30 to 34 yearsCharles County, Maryland"
30 to 34 years,"Frederick County, Maryland",7202,MD_021,239253,30,2010-2014,"30 to 34 yearsFrederick County, Maryland"
30 to 34 years,"Montgomery County, Maryland",34158,MD_031,1005087,30,2010-2014,"30 to 34 yearsMontgomery County, Maryland"
30 to 34 years,"Prince George's County, Maryland",31649,MD_033,884764,30,2010-2014,"30 to 34 yearsPrince George's County, Maryland"
30 to 34 years,"Arlington County, Virginia",13893,VA_013,220173,30,2010-2014,"30 to 34 yearsArlington County, Virginia"
30 to 34 years,"Clarke County, Virginia",331,VA_043,14273,30,2010-2014,"30 to 34 yearsClarke County, Virginia"
30 to 34 years,"Culpeper County, Virginia",1540,VA_047,47910,30,2010-2014,"30 to 34 yearsCulpeper County, Virginia"
30 to 34 years,"Fairfax County, Virginia",41552,VA_059,1117072,30,2010-2014,"30 to 34 yearsFairfax County, Virginia"
30 to 34 years,"Fauquier County, Virginia",1685,VA_061,66726,30,2010-2014,"30 to 34 yearsFauquier County, Virginia"
30 to 34 years,"Loudoun County, Virginia",12314,VA_107,338916,30,2010-2014,"30 to 34 yearsLoudoun County, Virginia"
30 to 34 years,"Prince William County, Virginia",16528,VA_153,428772,30,2010-2014,"30 to 34 yearsPrince William County, Virginia"
30 to 34 years,"Rappahannock County, Virginia",152,VA_157,7446,30,2010-2014,"30 to 34 yearsRappahannock County, Virginia"
30 to 34 years,"Spotsylvania County, Virginia",3909,VA_177,126200,30,2010-2014,"30 to 34 yearsSpotsylvania County, Virginia"
30 to 34 years,"Stafford County, Virginia",4271,VA_179,134672,30,2010-2014,"30 to 34 yearsStafford County, Virginia"
