estimate_year,index,CA_037,CA_059,DC_001,DE_003,FL_011,FL_086,FL_099,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,MA_009,MA_017,MA_021,MA_023,MA_025,MD_009,MD_015,MD_017,MD_021,MD_031,MD_033,MSA,NH_015,NH_017,NJ_003,NJ_005,NJ_007,NJ_013,NJ_015,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_033,NJ_035,NJ_037,NJ_039,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,PA_017,PA_029,PA_045,PA_091,PA_101,PA_103,TX_015,TX_039,TX_071,TX_085,TX_113,TX_121,TX_139,TX_157,TX_167,TX_201,TX_221,TX_231,TX_251,TX_257,TX_291,TX_339,TX_367,TX_397,TX_425,TX_439,TX_473,TX_497,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WI_059,WV_037
2005-2009,B01003_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,888546,,,771353,,593615,129517,781957,641984,485828,565428,488793,,320712,151239,522050,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,,,,,,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,888546,,,771353,,593615,129517,781957,641984,485828,565428,488793,,320712,151239,522050,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,,,,,,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_2_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,432001,,,371406,,293901,64661,385926,314374,239714,270635,238365,,158168,75275,254387,647971,146790,1198870,658595,771590,189910,49974,1105976,235328,146742,745399,458864,,,,,,29270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_3_under_5_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,25555,,,29450,,20182,3572,26609,19599,15375,19424,19214,,10929,4286,19051,56116,8104,98935,39851,47517,13539,2781,76038,14920,11741,49144,30835,,,,,,1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_4_5_to_9_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,29531,,,26996,,16299,4684,26323,22097,18089,17170,16262,,11944,5409,17655,52771,8947,84881,44602,33145,14541,3521,64325,15533,11906,53056,31686,,,,,,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_5_10_to_14_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,29292,,,27445,,16912,4985,25109,24287,16995,19127,17852,,11656,5590,18774,55728,10854,87462,49221,32307,15891,3888,69766,17084,11383,55705,35056,,,,,,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_6_15_to_17_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,18546,,,16588,,10576,3089,16465,15179,10606,11302,10346,,7039,3814,11163,35035,6958,54044,31330,19675,10028,2383,42053,10984,7586,35080,21425,,,,,,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_7_18_and_19_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,10268,,,10202,,6901,1573,11488,8544,6047,6014,6770,,3638,2059,6483,22111,5368,32270,18702,16199,7084,1280,25244,6316,4505,20707,12653,,,,,,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_8_20_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4594,,,5682,,4610,846,5272,4084,2767,2883,4065,,1934,1355,3294,11170,2812,18723,8898,10287,4182,606,14962,3695,2311,10226,5931,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_9_21_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,5053,,,5530,,3848,847,5693,3938,2522,2789,3222,,1694,654,3488,10416,2198,17336,9175,9554,3410,624,12945,2937,1960,9371,5653,,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_10_22_to_24_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14592,,,14132,,12567,2138,13279,10500,7639,9144,9015,,4467,2213,8912,28203,5088,50878,22946,32892,7083,1719,42653,8465,5591,25307,15810,,,,,,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_11_25_to_29_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,24177,,,27867,,33019,2001,30157,15735,11336,15334,17290,,8347,3110,16814,49664,8510,110027,35111,85490,9013,2435,93468,16468,7844,41369,24984,,,,,,1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_12_30_to_34_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,26921,,,27165,,31398,2648,28862,16534,13720,13933,16893,,10152,3922,17615,44917,8404,94803,34051,80921,10791,2556,90998,15811,7374,42157,27357,,,,,,1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_13_35_to_39_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,32264,,,27487,,26626,4064,30493,21242,18590,16948,17334,,12954,5285,19705,43392,10502,84574,44015,71954,13557,3853,90803,17212,8937,55318,33183,,,,,,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_14_40_to_44_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,36174,,,29135,,21241,6519,30889,26921,21162,18894,18334,,13563,7142,20229,48599,12307,81422,49918,62780,16408,4512,87349,18786,10988,61980,36971,,,,,,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_15_45_to_49_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,37161,,,28277,,20831,6588,30716,28664,21771,20042,18089,,14738,7347,20732,43494,13096,80197,56533,57200,15720,4714,86709,19129,11308,65562,37906,,,,,,2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_16_50_to_54_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,33250,,,24322,,17645,5967,27023,25434,18505,17893,16181,,12452,6548,17851,37237,11348,73314,51823,49794,13434,4138,76053,17340,10157,55190,34125,,,,,,2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_17_55_to_59_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,27865,,,20998,,14043,4711,21977,20581,15079,16458,12896,,9322,5439,14733,31094,9637,65034,44295,44437,11088,3302,63766,14755,8788,45092,29297,,,,,,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_18_60_and_61_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,9603,,,6636,,5010,1612,7362,7135,5749,6719,4950,,3355,1598,4607,10035,2925,22084,15782,15186,3775,1245,22088,5015,3184,16867,9843,,,,,,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_19_62_to_64_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,12558,,,8156,,6788,1933,8921,9286,6907,9027,5854,,4117,2403,6544,14264,3691,26740,17748,20263,4291,1431,28099,6744,4445,20839,11980,,,,,,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_20_65_and_66_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,7209,,,4866,,3585,941,5325,4674,4004,5861,3259,,2234,1459,3711,7894,2283,14322,10278,11928,2593,748,16395,3949,2417,11753,6873,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_21_67_to_69_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,9039,,,6607,,4387,1241,6499,6028,4521,7433,4058,,2879,1282,4531,9885,2709,20844,13177,14442,3101,1158,20594,4308,3330,15181,8598,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_22_70_to_74_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,12746,,,8406,,6789,1890,9493,8835,6899,11555,6141,,3835,1651,6074,13780,4367,30066,19643,20820,3832,1176,29258,5892,4053,20731,13266,,,,,,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_23_75_to_79_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,11194,,,6673,,5193,1343,7701,6480,5310,10070,4357,,3106,1313,4911,9365,3063,22898,17436,16139,3042,1164,22590,4725,3193,15957,11095,,,,,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_24_80_to_84_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,7747,,,5176,,3307,888,5930,4687,3603,7155,3188,,2088,836,4377,6898,2277,15841,13507,10525,1913,326,16806,3195,1999,10631,8057,,,,,,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_25_85_years_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,6662,,,3610,,2144,581,4340,3910,2518,5460,2795,,1725,560,3133,5903,1342,12175,10553,8135,1594,414,13014,2065,1742,8176,6280,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_26_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,456545,,,399947,,299714,64856,396031,327610,246114,294793,250428,,162544,75964,267663,733558,145397,1339270,695546,849372,186638,49137,1172884,247840,150556,765629,490186,,,,,,29065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_27_under_5_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,24502,,,27835,,19181,3423,25562,18886,14642,18590,18240,,10322,4294,18093,54347,7897,94593,37605,45492,12795,2785,72072,14216,11188,46620,29907,,,,,,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_28_5_to_9_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,27658,,,26146,,14529,4507,24202,21936,16954,17165,15863,,10946,5232,17612,51498,8758,82523,42372,31386,14191,3163,62103,15397,10460,49245,31097,,,,,,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_29_10_to_14_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,28355,,,25957,,16860,4652,24507,22199,16166,17228,17135,,11670,5512,16905,53304,10059,83420,47317,31563,14382,3659,66039,15777,11783,54144,32757,,,,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_30_15_to_17_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,17610,,,16041,,10181,2763,15388,14404,9913,10564,10058,,6603,3603,10687,33566,6481,52486,29792,19590,9270,2322,40917,10427,7041,33356,19926,,,,,,1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_31_18_and_19_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,9586,,,9714,,6232,1360,10793,7834,5781,5516,6423,,3267,1790,6130,20887,5341,30502,17684,20079,5420,1135,24030,5852,4324,19179,12255,,,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_32_20_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4112,,,4905,,3402,640,5555,3875,3429,3347,4019,,1570,815,2633,10200,2510,18349,9035,10623,2511,665,13674,3348,2015,9081,6501,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_33_21_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,4741,,,4588,,3713,627,5473,3396,2866,2852,2733,,1364,830,3330,11396,2524,16103,9012,10087,2730,290,12813,2944,2281,10190,4794,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_34_22_to_24_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14501,,,14860,,12423,1743,13812,10295,6468,8199,9122,,4779,2377,9087,28880,4889,54410,21580,35812,7273,1591,43789,8679,4808,24738,15417,,,,,,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_35_25_to_29_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,22797,,,27293,,31550,1878,29391,14241,10285,15173,17106,,7847,2949,16135,52537,7118,113689,32048,95693,8645,1787,92555,16339,6820,38515,24079,,,,,,1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_36_30_to_34_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,26385,,,27527,,28689,2914,27459,15986,13107,14084,16580,,9945,4055,17143,51340,7132,102536,32238,90351,10165,2348,90144,15487,6639,39916,27103,,,,,,1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_37_35_to_39_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,32038,,,29843,,23554,4794,29240,22819,18514,17442,17678,,11907,5526,19883,52381,9641,93148,45363,72860,13285,3716,87005,18118,9306,54974,34863,,,,,,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_38_40_to_44_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,38173,,,30576,,21290,6480,29433,27877,21698,19050,18393,,15282,6921,21438,54781,12027,93819,53913,60431,16162,4867,88573,18808,10984,63287,38863,,,,,,2332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_39_45_to_49_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,38314,,,30557,,20726,6815,30828,29858,21832,20256,18596,,14788,7526,21456,51797,12455,92200,59629,55544,15380,4683,87327,19844,11676,65422,40293,,,,,,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_40_50_to_54_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,34843,,,27392,,18789,5856,27370,26310,19145,18396,16669,,12653,6432,18879,44810,11059,86147,55052,52630,13155,4070,80524,18406,10616,55728,36325,,,,,,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_41_55_to_59_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,29137,,,22857,,16374,4929,23096,22116,15990,18141,14534,,9579,5261,16014,39546,9250,78613,46208,51786,10721,3467,70782,16783,9944,49032,32501,,,,,,2178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_42_60_and_61_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,11695,,,8470,,6001,1435,8138,7474,5751,7118,5279,,3647,2039,5507,13680,2928,28963,17300,19189,3728,1244,27963,6315,4018,16984,11097,,,,,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_43_62_to_64_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,14554,,,11189,,7298,1893,9996,9414,8068,10736,6800,,4546,2054,7407,18067,4297,33788,21287,25359,4886,1457,32938,6785,4334,23680,13666,,,,,,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_44_65_and_66_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,8726,,,6499,,4461,955,6324,5646,4590,6738,3869,,2472,1350,4119,11030,2235,21370,11973,14546,2482,741,21470,4013,2679,13829,8581,,,,,,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_45_67_to_69_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,10673,,,8001,,6092,1345,7385,6589,5247,9859,5147,,2857,1364,5539,14331,3015,28778,16001,20325,3263,1141,26494,5003,3629,16855,11045,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_46_70_to_74_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,16007,,,11663,,8613,1662,12042,10360,7098,16055,7660,,4925,1788,7930,20148,5036,40741,24997,25703,5162,1178,39098,7764,4884,24576,16486,,,,,,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B01001_47_75_to_79_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,,,15131,,,10594,,7503,1579,10948,9528,7142,14783,7099,,4089,1706,7451,16962,3951,36228,24466,20624,4068,1019,33972,6733,4204,21148,15123,,,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
