B11001_1_total,495356,107384,944650,444136,758345,126460,34316,777904,166150,99935,489328,345885,337819,280327,252352,46822,283794,232482,180124,223135,162440,115970,53618,187916,21379,2013-2017
B11001_2_family_households,326296,72096,585611,340148,320700,89112,25824,525106,123292,74710,359870,239896,244327,181847,156467,34274,207105,161387,129765,149402,118717,84124,38714,134815,15296,2013-2017
B11001_3_married-couple_family,137322,56465,355798,270528,212560,68731,21766,351408,90870,60128,282222,180366,192292,110539,99520,29295,160274,128396,107819,119013,79818,69990,31670,93322,12555,2013-2017
B11001_4_other_family,188974,15631,229813,69620,108140,20381,4058,173698,32422,14582,77648,59530,52035,71308,56947,4979,46831,32991,21946,30389,38899,14134,7044,41493,2741,2013-2017
"B11001_5_male_householder,_no_wife_present",38210,4004,53939,18974,23517,5340,1265,49835,8121,4133,22326,16544,14948,17102,16286,1544,13318,8738,6253,8776,9189,3490,2297,11627,990,2013-2017
"B11001_6_female_householder,_no_husband_present",150764,11627,175874,50646,84623,15041,2793,123863,24301,10449,55322,42986,37087,54206,40661,3435,33513,24253,15693,21613,29710,10644,4747,29866,1751,2013-2017
B11001_7_nonfamily_households,169060,35288,359039,103988,437645,37348,8492,252798,42858,25225,129458,105989,93492,98480,95885,12548,76689,71095,50359,73733,43723,31846,14904,53101,6083,2013-2017
B11001_8_householder_living_alone,149199,28818,276222,89541,350865,31318,7068,203696,37386,21172,107864,90967,79713,84632,71518,10651,64353,59862,42508,64089,37212,27448,12065,46087,5128,2013-2017
B11001_9_householder_not_living_alone,19861,6470,82817,14447,86780,6030,1424,49102,5472,4053,21594,15022,13779,13848,24367,1897,12336,11233,7851,9644,6511,4398,2839,7014,955,2013-2017
B15002_1_total,927374,204168,1789355,942504,1259137,240447,70373,1665576,328506,204647,1030141,668102,659670,534516,481845,88545,572917,436169,347344,406087,336045,230407,101164,377040,40380,2013-2017
B15002_2_male,417152,100405,820938,446306,590839,116393,34522,791069,154990,97696,497483,314762,312153,249394,235610,42873,276917,207616,166815,189964,159927,109787,49569,179706,19909,2013-2017
B15002_3_no_schooling_completed,16660,1203,23066,6130,11501,1616,538,24347,2032,1728,8261,3861,3520,4546,4654,352,3402,1685,1236,1569,3055,1021,210,3120,100,2013-2017
B15002_4_nursery_to_4th_grade,9546,244,9771,3437,5641,349,162,8570,713,627,4307,3437,1412,3335,3119,214,2092,772,679,392,1969,268,241,3328,1,2013-2017
B15002_5_5th_and_6th_grade,15473,766,24304,6303,10406,888,466,26351,1971,2407,5772,9448,3734,5622,7370,114,4096,1774,1996,1614,4823,563,100,4533,57,2013-2017
B15002_6_7th_and_8th_grade,18184,1041,19747,5454,11442,1304,336,18025,2264,1419,5775,5989,3469,5710,5449,224,4224,2113,1329,2508,4584,923,348,3721,212,2013-2017
B15002_7_9th_grade,13085,1177,19135,4084,8258,1519,218,16916,1734,987,5648,4192,2051,4084,4028,237,2997,1830,865,2210,2684,558,400,2884,218,2013-2017
B15002_8_10th_grade,15989,1741,15118,4011,8987,1462,447,13744,2199,1100,5490,4131,2614,4118,3795,272,3787,2202,1437,3077,3225,931,466,2560,273,2013-2017
B15002_9_11th_grade,16841,2250,17585,4196,9151,2359,245,12698,2644,1250,7565,4508,2744,6030,3842,345,3147,2543,1175,2777,3451,673,630,3095,390,2013-2017
"B15002_10_12th_grade,_no_diploma",14717,1878,30594,7639,11007,2669,611,25276,3824,3404,9461,7056,5081,5101,4859,470,4593,3105,1784,3961,3620,1064,669,4055,527,2013-2017
B15002_11_high_school_graduate_(includes_equivalency),125221,27900,213675,99365,76244,35792,10032,224654,47665,20958,139490,62204,73223,73643,62477,9734,72187,49373,33977,61418,56998,22583,16281,54018,7070,2013-2017
"B15002_12_some_college,_less_than_1_year",17076,6378,25846,19830,13270,7461,1641,30195,9160,4785,27685,11450,12459,9762,7607,2218,11987,10912,7543,13943,6568,4368,3346,7206,1520,2013-2017
"B15002_13_some_college,_1_or_more_years,_no_degree",56975,13189,89819,56232,46762,17813,4532,89837,21123,12655,65123,34180,33743,31570,24863,4537,30128,25123,15920,27902,18602,11373,6578,22291,2952,2013-2017
B15002_14_associate's_degree,25895,9227,46821,33204,19354,10676,3019,60024,11946,7428,42076,17547,15683,12357,10023,2286,15650,12558,8853,12899,7419,5719,3732,8888,1616,2013-2017
B15002_15_bachelor's_degree,46786,18891,177984,113185,186035,19690,7403,156541,30674,22216,100039,74137,92911,49168,58244,12824,67527,56472,51248,37019,28790,31440,11218,35806,3032,2013-2017
B15002_16_master's_degree,16833,10078,75153,50607,101050,9500,3183,59486,11621,11298,45782,42722,38772,21121,25946,6132,37824,24688,26366,13717,9656,18283,3908,15814,1384,2013-2017
B15002_17_professional_school_degree,4523,2367,22548,25508,49055,1899,976,15808,4051,3582,16356,21706,14080,8966,5803,1564,7279,8203,7808,3425,2987,4911,883,5265,368,2013-2017
B15002_18_doctorate_degree,3348,2075,9772,7121,22676,1396,713,8597,1369,1852,8653,8194,6657,4261,3531,1350,5997,4263,4599,1533,1496,5109,559,3122,189,2013-2017
B15002_19_female,510222,103763,968417,496198,668298,124054,35851,874507,173516,106951,532658,353340,347517,285122,246235,45672,296000,228553,180529,216123,176118,120620,51595,197334,20471,2013-2017
B15002_20_no_schooling_completed,20267,1055,29560,6804,13474,1577,329,33071,2757,1653,7657,5352,4391,5235,5210,223,4364,1624,1399,1664,3484,1172,255,3551,110,2013-2017
B15002_21_nursery_to_4th_grade,14643,315,13227,3918,8920,532,165,12227,1026,851,3442,4118,1900,3443,4415,119,3396,702,718,530,2765,489,137,2728,12,2013-2017
B15002_22_5th_and_6th_grade,18600,862,28337,6584,14277,1073,321,30060,2399,1961,6066,7416,3991,4840,8466,247,4068,1508,1604,1741,4575,610,128,4602,36,2013-2017
B15002_23_7th_and_8th_grade,21318,1012,24850,5934,12349,1231,273,21899,2342,1530,5694,4840,4274,5965,5851,274,5977,2526,1522,2493,6175,1033,322,3830,211,2013-2017
B15002_24_9th_grade,15383,851,18944,3895,9140,1420,147,18327,1986,852,5361,3232,1807,4104,3906,246,2517,1505,800,1761,2489,399,236,2554,171,2013-2017
B15002_25_10th_grade,16627,1395,17906,3905,9185,1324,154,13294,2359,1343,5285,3923,3244,4227,3963,392,4323,1864,1221,3093,3271,909,682,2777,308,2013-2017
B15002_26_11th_grade,21088,1928,21174,4803,10733,3004,279,12516,2997,1597,6420,4955,3673,6501,4349,219,3363,2207,1258,3030,3673,925,369,2264,458,2013-2017
"B15002_27_12th_grade,_no_diploma",15888,1777,32127,7783,11620,2167,385,27236,3793,3308,9265,6471,4795,5882,5029,533,5169,3269,1926,3430,3445,1500,484,3349,310,2013-2017
B15002_28_high_school_graduate_(includes_equivalency),130845,25565,246663,120007,80363,35403,9507,236574,55346,24481,152883,68289,84420,78184,63760,9496,75667,58339,39268,77963,59227,26031,15464,56243,6671,2013-2017
"B15002_29_some_college,_less_than_1_year",20128,5786,30343,20454,14067,7279,1818,31615,8284,4911,28754,12748,14358,12375,8632,2166,13869,12595,8826,15406,7593,4868,3624,8331,1567,2013-2017
"B15002_30_some_college,_1_or_more_years,_no_degree",68091,13883,96970,49382,49853,16629,4041,91691,18679,11524,60028,36131,34799,37670,24773,5174,30628,25602,15860,27316,21098,11607,6547,25332,2885,2013-2017
B15002_31_associate's_degree,39285,12103,64483,41047,28984,13914,3581,73123,13778,9134,52437,23751,22365,18294,11938,3532,20602,18544,13469,18111,10485,8433,5164,13331,1994,2013-2017
B15002_32_bachelor's_degree,68884,20005,202151,116207,211952,21524,8216,168833,31946,22776,96907,85519,103438,60793,60609,13976,74791,59402,55306,39787,31874,35097,12315,41729,3543,2013-2017
B15002_33_master's_degree,31134,14413,111406,82575,129136,14281,5550,82736,20812,16966,75515,65182,45659,28017,27193,6937,37381,30697,29248,16812,12880,21055,4827,20296,1846,2013-2017
B15002_34_professional_school_degree,4895,1407,21282,16779,43293,1883,568,14244,3439,2668,10597,14496,9526,6071,5331,1227,5637,5392,5472,1935,2023,3550,663,4173,254,2013-2017
B15002_35_doctorate_degree,3146,1406,8994,6121,20952,813,517,7061,1573,1396,6347,6917,4877,3521,2810,911,4248,2777,2632,1051,1061,2942,378,2244,95,2013-2017
B19001_1_total,495356,107384,944650,444136,758345,126460,34316,777904,166150,99935,489328,345885,337819,280327,252352,46822,283794,232482,180124,223135,162440,115970,53618,187916,21379,2013-2017
"B19001_2_less_than_$10,000",68200,4164,95091,12929,66351,5981,734,48997,13199,3841,17231,16498,14653,25529,20235,1404,12750,9024,4571,9719,12174,3166,1420,9840,913,2013-2017
"B19001_3_$10,000_to_$14,999",50015,4424,66247,9847,42706,4890,616,34723,6315,3660,12632,11801,9909,15046,11847,723,7892,6978,3859,8295,7503,2198,1133,6017,908,2013-2017
"B19001_4_$15,000_to_$19,999",36722,3594,49652,10981,31140,5027,1006,34986,6158,3624,14566,11290,10172,14248,12594,1007,8474,6361,3662,10644,8512,2538,1180,7552,985,2013-2017
"B19001_5_$20,000_to_$24,999",30119,4096,48253,12054,26793,4987,966,36549,6225,4045,14035,12295,10170,14365,11263,1092,9214,8785,4307,11020,7246,3110,1710,7654,971,2013-2017
"B19001_6_$25,000_to_$29,999",27708,4035,41436,12045,23930,4333,895,33987,5588,3198,14086,11217,9747,14183,10817,1154,8954,7764,3906,9245,6910,2592,1620,7394,892,2013-2017
"B19001_7_$30,000_to_$34,999",26554,4046,42783,10503,23920,4955,1104,34160,5439,3108,14796,11291,10292,11429,9655,1104,9834,7669,4512,10294,6830,2535,1693,7202,842,2013-2017
"B19001_8_$35,000_to_$39,999",24095,3951,39041,11579,21611,4865,1013,32463,5408,2901,13614,10151,9824,11175,9692,815,9595,6283,4556,9583,6287,2790,1766,7494,890,2013-2017
"B19001_9_$40,000_to_$44,999",22752,3878,37762,11933,20577,4274,697,33253,5197,3159,14618,10340,9835,11195,9309,1138,9175,6556,4124,9245,6529,3478,1630,7106,982,2013-2017
"B19001_10_$45,000_to_$49,999",17992,3415,31472,10567,17101,4133,676,28960,4730,2696,13376,9302,9290,8993,8556,1220,8594,6303,4566,8047,5251,2958,1443,6104,900,2013-2017
"B19001_11_$50,000_to_$59,999",35693,7308,60457,21571,38374,8016,1826,58227,9664,5796,28423,19838,19704,18735,17270,2100,18393,13598,9710,15835,10612,5933,3494,12061,1815,2013-2017
"B19001_12_$60,000_to_$74,999",40712,10467,81818,32823,53102,11677,3110,77863,14073,7474,41986,25934,27285,23107,22520,3978,26650,18196,13331,23027,13361,8990,5225,17396,2330,2013-2017
"B19001_13_$75,000_to_$99,999",45583,14603,102648,52798,71132,16470,4601,101944,20628,11497,63091,35953,40739,27732,27354,5197,37501,27518,22131,28593,19688,13726,7852,22548,3343,2013-2017
"B19001_14_$100,000_to_$124,999",28654,12367,74305,47821,61913,13977,3766,72447,18070,10581,56335,32508,34071,21666,22274,5100,31787,24186,20527,22997,15148,13193,7079,17858,2260,2013-2017
"B19001_15_$125,000_to_$149,999",14619,8039,48811,40339,44381,10958,3459,48744,13449,8177,42272,24873,28105,14280,14406,3913,24157,19117,15816,15142,10626,9581,4512,12534,1051,2013-2017
"B19001_16_$150,000_to_$199,999",15078,10006,57077,59430,63019,12091,4835,56521,17099,11114,60105,35041,37853,18405,19131,6881,28720,26482,22782,17540,13286,14079,6265,16006,1322,2013-2017
"B19001_17_$200,000_or_more",10860,8991,67797,86916,152295,9826,5012,44080,14908,15064,68162,67553,56170,30239,25429,9996,32104,37662,37764,13909,12477,25103,5596,23150,975,2013-2017
B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),36593,75585,52782,105744,79781,75146,99608,62008,76244,88571,92838,89968,91572,57365,62681,110969,83133,91807,107034,65771,63339,106046,89238,73376,63417,2013-2017
B25001_1_total,524488,120136,1028383,471031,872645,141493,38578,850422,179179,105530,574342,373236,355632,315186,277742,49984,299753,260524,191642,281171,176843,125762,62275,201442,38899,2013-2017
B25003_1_total,495356,107384,944650,444136,758345,126460,34316,777904,166150,99935,489328,345885,337819,280327,252352,46822,283794,232482,180124,223135,162440,115970,53618,187916,21379,2013-2017
B25003_2_owner_occupied,97658,74264,283752,357982,182453,86449,28101,346041,115428,68822,393065,212731,218066,124852,79116,39185,180484,171560,135197,178570,86901,88188,44342,110762,17981,2013-2017
B25003_3_renter_occupied,397698,33120,660898,86154,575892,40011,6215,431863,50722,31113,96263,133154,119753,155475,173236,7637,103310,60922,44927,44565,75539,27782,9276,77154,3398,2013-2017
B25024_1_total,524488,120136,1028383,471031,872645,141493,38578,850422,179179,105530,574342,373236,355632,315186,277742,49984,299753,260524,191642,281171,176843,125762,62275,201442,38899,2013-2017
"B25024_2_1,_detached",29667,77424,53660,358592,9217,87774,30120,161420,61903,60221,459741,165520,189658,103765,27495,37750,157565,172615,128144,212612,73846,73680,49273,105220,35297,2013-2017
"B25024_3_1,_attached",24969,6206,88807,13578,6573,9468,2787,73433,45771,8744,25738,21150,18081,17648,15783,4684,34542,20265,14910,25230,8961,20054,3552,9134,991,2013-2017
B25024_4_2,47903,7762,184397,31526,8723,9604,1765,174667,41297,6707,22161,31339,50928,48534,63608,1708,21087,9009,7602,8266,40557,6524,1668,33317,425,2013-2017
B25024_5_3_or_4,46486,8678,172855,9793,18770,9843,1159,94358,6098,8623,12738,31628,21786,55103,39025,1574,15978,8687,6584,6185,16746,5863,1483,15669,331,2013-2017
B25024_6_5_to_9,19123,7178,110392,6960,46907,8864,1138,47978,3200,7741,16085,18798,13082,17717,31187,1293,17473,11179,6461,6357,11020,5537,2671,7756,202,2013-2017
B25024_7_10_to_19,28483,3467,59299,10011,94542,6222,464,32206,2556,3912,14027,15903,13862,15756,21699,1679,26299,12151,10779,5785,7989,6857,1385,7421,80,2013-2017
B25024_8_20_to_49,134371,2331,132701,12336,203141,2502,566,84400,4180,3333,8686,27693,14784,20449,27235,588,11800,7032,8498,4192,6611,3122,477,10639,115,2013-2017
