B01001_2_male,44122,71952,116557,475872,419352,293104,107385,6934,23864,544565,32462,161459,207298,3650,60953,66290,18758,69448,11401,6023,12023,19658,7812,26650,2009-2013
B01001_3_under_5_years,2587,4751,7581,33134,30206,18640,6390,344,1583,37955,1967,14146,17257,146,4190,4460,1131,5298,859,458,951,1697,976,1785,2009-2013
B01001_4_5_to_9_years,2901,5591,8397,32666,27085,14041,4744,456,1955,37206,2477,15164,17900,125,4803,4889,1196,3394,566,401,827,1346,376,1949,2009-2013
B01001_5_10_to_14_years,3853,5548,8711,33504,28724,12415,4179,423,1517,38085,2418,13518,16154,260,5057,5732,1325,2347,696,456,603,1709,739,1720,2009-2013
B01001_6_15_to_17_years,2379,3876,5475,20730,17967,8092,2288,285,973,23080,1451,7267,9617,93,3189,3655,763,1549,366,217,390,805,262,925,2009-2013
B01001_7_18_and_19_years,1307,2037,3320,11280,15437,10829,1569,116,622,13384,790,3517,5471,64,1689,1969,497,934,274,56,505,506,237,1043,2009-2013
B01001_8_20_years,595,818,1391,4896,8047,6216,942,51,291,5195,284,1427,3535,31,910,877,185,379,123,82,564,481,159,263,2009-2013
B01001_9_21_years,577,917,1507,5153,7919,5297,755,68,322,5977,452,1052,2793,45,949,1016,227,336,281,21,471,239,132,428,2009-2013
B01001_10_22_to_24_years,1461,3065,4184,17599,20467,15693,6017,237,790,20303,940,4677,7205,168,1937,3457,739,2927,478,405,752,892,382,959,2009-2013
B01001_11_25_to_29_years,2310,4388,6887,33101,32885,33313,16673,297,1442,40059,1679,9069,14729,104,3586,4549,994,8076,898,389,1100,1554,546,1376,2009-2013
B01001_12_30_to_34_years,2159,4036,7011,33210,30818,29258,13228,353,1538,40507,1589,11979,15782,156,3755,4056,1205,8704,813,484,603,1620,594,1548,2009-2013
B01001_13_35_to_39_years,2213,4864,7328,33365,28406,22119,9148,365,1710,38637,1827,14556,15896,169,4526,4021,1160,7308,706,432,928,1461,537,1733,2009-2013
B01001_14_40_to_44_years,3359,5587,9348,34150,30199,20397,8906,436,1765,42628,2407,15201,16694,246,4040,5383,1410,5695,971,407,834,1498,782,2023,2009-2013
B01001_15_45_to_49_years,4256,6381,10011,35993,30416,19470,7274,658,1958,42798,2845,14157,16483,279,5215,5807,1654,5037,793,385,705,1453,741,2250,2009-2013
B01001_16_50_to_54_years,3935,5773,9464,36049,29337,18444,6419,663,1771,41946,2857,11529,14698,324,4477,5142,1544,4516,808,439,695,1263,450,2044,2009-2013
B01001_17_55_to_59_years,3160,4258,7586,31147,24501,16509,5715,508,1585,35034,2280,8016,10977,341,3501,3919,1305,3767,841,339,534,1040,281,1893,2009-2013
B01001_18_60_and_61_years,941,1684,2843,11485,9048,5944,1989,281,527,12658,992,2859,3632,99,1576,1130,515,1493,155,112,313,336,96,782,2009-2013
B01001_19_62_to_64_years,1511,1943,3569,15381,11642,8052,2824,269,750,17522,1137,3372,5180,265,1869,1575,651,1953,426,351,266,502,154,863,2009-2013
B01001_20_65_and_66_years,860,1042,1940,8138,6384,4370,1519,211,309,9498,663,2086,2664,98,1002,1034,341,1186,157,112,189,235,98,469,2009-2013
B01001_21_67_to_69_years,984,1311,2852,9904,7475,5577,1467,189,718,11007,868,1991,3178,190,1272,1105,302,1189,269,118,228,199,112,654,2009-2013
B01001_22_70_to_74_years,1158,1897,2631,12429,9758,6959,2229,292,744,12529,1094,2299,3411,191,1334,1117,787,1240,359,85,146,418,84,921,2009-2013
B01001_23_75_to_79_years,644,1029,2013,9312,6260,5051,1196,248,456,8794,581,1715,2135,115,894,693,350,863,232,103,238,205,51,469,2009-2013
B01001_24_80_to_84_years,498,635,1402,6487,3718,3524,903,143,270,5651,652,1266,949,123,787,411,287,594,200,125,73,85,23,360,2009-2013
B01001_25_85_years_and_over,474,521,1106,6759,2653,2894,1011,41,268,4112,212,596,958,18,395,293,190,663,130,46,108,114,0,193,2009-2013
B01001_26_female,45210,77005,120111,513602,454129,326267,107476,7257,23466,556506,33553,165018,209370,3798,63366,65595,19078,74236,11626,6708,13908,19659,7313,27481,2009-2013
B01001_27_under_5_years,2284,4563,7168,31718,29020,17852,6062,369,1635,36444,1830,13482,16640,193,3920,4301,1140,5165,618,390,885,1637,364,1469,2009-2013
B01001_28_5_to_9_years,3033,4713,7937,31689,26508,14059,5095,368,1771,36729,2531,14258,17053,221,4734,5090,1438,3665,581,414,673,1590,750,1965,2009-2013
B01001_29_10_to_14_years,3498,5845,8396,32448,27667,11984,3561,552,1690,35070,2065,13802,15415,208,4742,5340,1259,2037,629,499,611,1282,494,1760,2009-2013
B01001_30_15_to_17_years,2281,3774,5077,19852,17145,8208,2153,345,990,21403,1561,7089,9210,170,3053,3571,688,1456,529,370,279,954,307,1094,2009-2013
B01001_31_18_and_19_years,1088,1940,3003,10149,14295,13245,1423,155,634,12153,832,3126,4955,85,1526,1817,426,766,181,98,1052,356,208,853,2009-2013
B01001_32_20_years,604,958,1406,4370,6457,6487,823,14,230,5153,312,993,2285,0,635,767,225,673,184,22,741,301,100,451,2009-2013
B01001_33_21_years,430,690,1558,4159,7508,6372,510,94,149,6134,242,1157,2675,85,665,804,323,743,173,79,793,163,17,386,2009-2013
B01001_34_22_to_24_years,1327,2895,4005,17895,19721,19634,7028,170,716,18416,1083,4554,7519,57,2347,2319,519,2899,472,171,1057,1054,275,1042,2009-2013
B01001_35_25_to_29_years,2279,4542,7018,33944,33073,39277,17308,257,1338,39379,1476,9746,14610,153,3719,3958,1098,9339,823,414,1160,1510,705,1441,2009-2013
B01001_36_30_to_34_years,2404,4648,7279,35278,32396,31379,12743,379,1523,40774,1736,13527,16425,132,4141,4006,1152,8929,721,559,1010,1561,829,1595,2009-2013
B01001_37_35_to_39_years,2716,5713,7705,35935,31738,23280,9171,387,1488,41431,2045,14410,16742,160,4398,4330,1198,6457,786,403,795,1466,473,1966,2009-2013
B01001_38_40_to_44_years,3467,6618,9596,37984,32926,18813,7293,530,1596,42744,2593,15942,16853,294,4835,5786,1330,6190,837,481,611,1332,759,2113,2009-2013
B01001_39_45_to_49_years,4331,7126,10329,40366,35099,18949,6698,600,1807,44912,2891,14280,16774,281,5295,6104,1581,4861,827,525,750,1526,418,2178,2009-2013
B01001_40_50_to_54_years,4130,5972,9601,40024,34214,19069,6198,606,1794,44013,2873,11288,14687,318,4786,5095,1537,4728,863,650,746,1344,424,2015,2009-2013
B01001_41_55_to_59_years,3053,4763,7849,35059,30386,18433,5954,663,1450,37899,2171,8705,10797,336,4179,4079,1324,4679,841,378,609,1145,329,2109,2009-2013
B01001_42_60_and_61_years,1145,1699,2990,13755,10989,7470,1998,181,574,13739,885,2432,4476,155,1380,1148,430,1779,289,222,321,363,175,543,2009-2013
B01001_43_62_to_64_years,1518,2236,3627,16496,14473,9768,2873,249,873,18201,1393,3429,5541,146,1748,1458,676,2132,366,271,276,414,144,914,2009-2013
B01001_44_65_and_66_years,995,1108,2085,9665,8532,5333,1711,203,488,9552,788,1979,2509,99,1291,923,411,1165,210,140,111,155,80,559,2009-2013
B01001_45_67_to_69_years,827,1643,2726,11761,9536,7159,1731,304,705,11165,1032,2594,3505,144,1298,1092,289,1595,407,121,201,327,40,606,2009-2013
B01001_46_70_to_74_years,1207,2017,3297,15081,11955,9000,2246,210,643,14529,1131,2829,4472,243,1487,1401,830,1485,350,164,373,381,141,915,2009-2013
B01001_47_75_to_79_years,1028,1351,2479,11849,8603,7494,1911,234,497,9922,829,1859,2754,83,1224,881,455,1420,310,117,219,269,227,509,2009-2013
B01001_48_80_to_84_years,796,1075,2319,10405,5590,5732,1200,184,367,7786,642,1792,1637,110,1002,607,407,1022,298,72,220,277,33,423,2009-2013
B01001_49_85_years_and_over,769,1116,2661,13720,6298,7270,1786,203,508,8958,612,1745,1836,125,961,718,342,1051,331,148,415,252,21,575,2009-2013
B02001_1_total,89332,148957,236668,989474,873481,619371,214861,14191,47330,1101071,66015,326477,416668,7448,124319,131885,37836,143684,23027,12731,25931,39317,15125,54131,2009-2013
B02001_2_white_alone,72777,74894,194610,560930,185930,248141,153109,12860,36347,698963,57759,226884,255662,6860,93110,93262,34562,92041,16228,9804,16893,29103,10275,47753,2009-2013
B02001_3_black_or_african_american_alone,12116,61660,20403,170317,560653,310530,17966,753,7071,101532,5088,23821,84675,338,19556,22645,1554,31291,1154,678,6095,5568,2025,3490,2009-2013
B02001_4_american_indian_and_alaska_native_alone,129,1140,960,3427,2970,1990,1191,73,96,4437,34,713,1405,3,344,694,90,509,120,0,110,28,54,47,2009-2013
B02001_5_asian_alone,1108,4725,9614,139316,36546,21845,20501,131,755,196634,879,49155,31804,8,3050,3511,366,8727,3429,1102,650,1726,1075,831,2009-2013
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,252,140,281,334,233,168,0,76,853,19,185,339,0,225,132,13,54,46,0,3,0,0,0,2009-2013
B02001_7_some_other_race_alone,717,1211,4388,75705,65755,22165,14481,101,1189,53104,410,12252,23604,34,5226,6887,199,5485,1124,482,1315,1147,529,529,2009-2013
B02001_8_two_or_more_races,2485,5075,6553,39498,21293,14467,7445,273,1796,45548,1826,13467,19179,205,2808,4754,1052,5577,926,665,865,1745,1167,1481,2009-2013
B02001_9_two_races_including_some_other_race,55,393,720,7333,3612,1974,1695,32,275,7706,85,1862,2246,37,214,678,19,1122,157,34,53,340,333,149,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",2430,4682,5833,32165,17681,12493,5750,241,1521,37842,1741,11605,16933,168,2594,4076,1033,4455,769,631,812,1405,834,1332,2009-2013
B11001_1_total,30923,51247,86337,360563,303441,263649,94454,5580,16039,389908,23130,106997,132442,3261,41709,42178,14387,65369,8492,5020,9779,12072,4435,19889,2009-2013
B11001_2_family_households,23573,37777,62940,248311,200498,112278,43512,4098,11959,277250,17205,83146,103008,2126,32962,34311,10147,30863,5768,3092,5170,9054,3331,14034,2009-2013
B11001_3_married-couple_family,18607,27324,50515,193171,117539,60581,34726,3466,9337,226627,14361,69998,79859,1844,25640,27934,7663,23334,4645,2504,3186,6473,2504,11162,2009-2013
B11001_4_other_family,4966,10453,12425,55140,82959,51697,8786,632,2622,50623,2844,13148,23149,282,7322,6377,2484,7529,1123,588,1984,2581,827,2872,2009-2013
"B11001_5_male_householder,_no_wife_present",1468,2625,3792,14734,20331,9784,3021,139,861,15096,898,3855,7031,154,1874,1795,772,2335,336,104,357,811,160,843,2009-2013
"B11001_6_female_householder,_no_husband_present",3498,7828,8633,40406,62628,41913,5765,493,1761,35527,1946,9293,16118,128,5448,4582,1712,5194,787,484,1627,1770,667,2029,2009-2013
B11001_7_nonfamily_households,7350,13470,23397,112252,102943,151371,50942,1482,4080,112658,5925,23851,29434,1135,8747,7867,4240,34506,2724,1928,4609,3018,1104,5855,2009-2013
B11001_8_householder_living_alone,6185,11005,18951,91422,84246,119573,38256,1090,3349,88693,4750,18297,23233,951,7074,6352,3366,28088,1829,1615,3715,2383,957,4507,2009-2013
B11001_9_householder_not_living_alone,1165,2465,4446,20830,18697,31798,12686,392,731,23965,1175,5554,6201,184,1673,1515,874,6418,895,313,894,635,147,1348,2009-2013
B15002_1_total,59127,96976,157552,678232,569308,430307,161322,10144,31462,748384,44780,207248,260984,5497,79973,81821,25755,109116,16017,8592,14777,24305,9347,36039,2009-2013
B15002_2_male,28462,45349,75991,316910,263500,201881,80501,4954,15811,363380,21683,100691,127366,2718,38229,40235,12695,52284,7758,3927,6960,11983,4549,17578,2009-2013
B15002_3_no_schooling_completed,72,235,597,3971,4514,2561,1073,24,195,4250,158,696,1399,0,278,143,131,477,64,0,41,413,138,111,2009-2013
B15002_4_nursery_to_4th_grade,54,224,163,3191,5395,1488,359,0,62,2815,44,434,815,24,7,81,50,624,13,0,12,237,18,43,2009-2013
B15002_5_5th_and_6th_grade,93,273,778,5540,8665,2203,508,37,291,4733,193,1273,2563,38,315,262,187,470,83,21,1,451,362,228,2009-2013
B15002_6_7th_and_8th_grade,457,524,800,2776,4947,3459,768,109,659,3710,371,777,1788,179,844,511,524,665,47,16,92,241,73,614,2009-2013
B15002_7_9th_grade,341,490,914,3116,6093,3148,538,109,281,3786,204,821,2421,159,601,450,415,633,46,69,85,173,239,372,2009-2013
B15002_8_10th_grade,542,640,1217,2516,4296,3665,470,86,699,2309,365,702,2051,89,949,544,310,471,50,10,82,219,17,527,2009-2013
B15002_9_11th_grade,521,1311,1138,2716,5404,4478,650,134,394,3035,305,603,1663,40,1026,809,398,678,89,0,106,146,65,421,2009-2013
"B15002_10_12th_grade,_no_diploma",390,750,1043,4495,5248,2872,827,102,279,4787,327,825,2217,21,506,497,253,741,168,7,79,241,74,158,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),9440,14933,19286,43253,75281,37591,7002,1353,5782,43551,5826,13606,26824,675,12435,9572,4593,5856,1146,302,1688,3204,1086,5664,2009-2013
"B15002_12_some_college,_less_than_1_year",2071,3534,4815,11200,15016,6044,1531,325,964,11220,1902,4120,7063,156,2627,2721,959,1629,178,164,557,705,288,944,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",4886,8001,10497,33376,41843,20503,5580,784,1728,38296,3069,11037,20764,347,5021,6418,1278,5499,1161,186,1126,1772,733,2545,2009-2013
B15002_14_associate's_degree,1362,2735,4804,13130,13903,5614,3024,282,930,16858,1561,5002,8630,95,2259,2404,811,2227,421,81,360,756,329,1017,2009-2013
B15002_15_bachelor's_degree,4617,7475,18196,81564,43224,47074,26910,959,2259,107376,4228,35489,27308,391,6812,9088,1856,15778,2153,1110,1374,2169,853,3196,2009-2013
B15002_16_master's_degree,2686,3241,8292,54358,20787,32479,19209,368,943,81214,2273,20236,17732,257,3455,5620,667,10892,1629,1194,1043,914,190,1090,2009-2013
B15002_17_professional_school_degree,442,422,1522,26134,4067,19314,8265,184,207,19844,498,2971,2250,130,666,630,143,3631,304,540,164,200,59,310,2009-2013
B15002_18_doctorate_degree,488,561,1929,25574,4817,9388,3787,98,138,15596,359,2099,1878,117,428,485,120,2013,206,227,150,142,25,338,2009-2013
B15002_19_female,30665,51627,81561,361322,305808,228426,80821,5190,15651,385004,23097,106557,133618,2779,41744,41586,13060,56832,8259,4665,7817,12322,4798,18461,2009-2013
B15002_20_no_schooling_completed,134,260,549,5062,4367,2257,1101,25,177,4864,79,1060,1909,0,309,260,187,441,68,6,2,356,64,95,2009-2013
B15002_21_nursery_to_4th_grade,5,241,190,3339,3724,1598,557,0,78,2997,53,443,862,15,126,120,30,290,146,27,51,136,35,43,2009-2013
B15002_22_5th_and_6th_grade,86,250,885,5236,5657,2202,610,26,207,5960,111,1226,2103,22,260,124,98,852,69,36,53,366,158,73,2009-2013
B15002_23_7th_and_8th_grade,224,647,818,3716,4881,3126,919,51,440,4210,417,847,1633,105,688,208,314,616,42,0,151,325,94,348,2009-2013
B15002_24_9th_grade,166,270,780,3482,4567,2915,456,61,238,3354,238,628,1797,48,655,579,278,631,26,29,92,246,54,324,2009-2013
B15002_25_10th_grade,208,817,1213,3061,4140,4056,650,166,451,2834,383,773,1818,106,597,414,480,594,90,0,144,215,51,364,2009-2013
B15002_26_11th_grade,542,982,972,2664,5589,6215,591,118,295,2620,381,654,1731,91,1109,488,332,741,142,0,288,228,96,540,2009-2013
"B15002_27_12th_grade,_no_diploma",371,642,792,4999,4847,3550,760,68,192,5073,216,1091,1738,0,460,571,136,665,145,9,159,241,61,179,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),9592,15181,20902,53886,79065,43372,7609,1634,5149,56573,6525,15793,28482,750,13135,10740,5004,7425,1426,613,2095,3050,1314,5912,2009-2013
"B15002_29_some_college,_less_than_1_year",2550,4442,5977,15111,19275,8569,1991,354,1318,14467,1951,4936,9305,205,3227,3147,834,2277,444,120,594,835,311,1436,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",4660,9247,10849,39053,53656,26194,5254,701,2314,44426,3256,12677,21539,403,6665,7029,1777,5054,1126,360,1252,1641,709,2730,2009-2013
B15002_31_associate's_degree,2610,4496,7347,21940,19494,7344,2870,423,1222,22779,1956,7261,10390,147,3347,4126,1088,2561,519,144,481,1124,551,1404,2009-2013
B15002_32_bachelor's_degree,5900,8590,18374,97495,55906,50567,28449,1009,2469,122031,4941,37418,32224,487,7058,9006,1481,18148,2695,1337,1513,2268,865,2932,2009-2013
B15002_33_master's_degree,2882,4621,9540,68638,32456,42178,20372,457,898,71122,2135,17891,15511,249,3622,4232,854,11524,924,1270,764,1154,384,1801,2009-2013
B15002_34_professional_school_degree,490,527,1108,18201,4570,16823,6239,48,142,14275,311,2442,1682,50,315,281,126,3544,265,473,88,120,14,189,2009-2013
B15002_35_doctorate_degree,245,414,1265,15439,3614,7460,2393,49,61,7419,144,1417,894,101,171,261,41,1469,132,241,90,17,37,91,2009-2013
B19001_1_total,30923,51247,86337,360563,303441,263649,94454,5580,16039,389908,23130,106997,132442,3261,41709,42178,14387,65369,8492,5020,9779,12072,4435,19889,2009-2013
"B19001_2_less_than_$10,000",837,1899,2851,12035,12062,27350,3432,265,517,9846,695,1373,2912,141,1243,979,669,2338,171,135,937,447,63,994,2009-2013
"B19001_3_$10,000_to_$14,999",545,1014,2151,6994,7750,12220,1783,131,763,5013,364,915,1837,205,958,658,813,1433,159,57,614,219,209,722,2009-2013
"B19001_4_$15,000_to_$19,999",689,1167,2121,7292,7850,10175,1944,198,497,6777,555,1373,2011,111,1186,635,714,1532,151,37,397,331,107,709,2009-2013
"B19001_5_$20,000_to_$24,999",986,1470,2563,9020,9504,10019,2127,81,665,6680,716,1575,3148,165,1647,679,775,1813,398,114,504,565,110,1059,2009-2013
"B19001_6_$25,000_to_$29,999",461,1041,2481,8127,8812,8871,1906,202,647,7896,635,1073,2832,219,1610,1189,556,1567,171,201,484,257,136,645,2009-2013
"B19001_7_$30,000_to_$34,999",749,1161,3074,8787,12046,9629,1939,109,645,7971,841,1696,3511,129,1001,953,498,2055,236,55,556,623,201,1068,2009-2013
"B19001_8_$35,000_to_$39,999",789,1061,2749,10317,11128,9040,1967,168,702,8546,585,1814,3465,199,1451,1220,614,1913,334,117,541,618,112,837,2009-2013
"B19001_9_$40,000_to_$44,999",1075,1357,2700,10688,13663,10070,2123,248,876,9452,759,2836,3566,117,1618,1237,600,2527,175,106,548,402,168,836,2009-2013
"B19001_10_$45,000_to_$49,999",819,1455,2789,10519,12264,8279,2151,159,582,9180,1009,2429,4303,197,1507,1344,640,1824,215,151,517,313,206,697,2009-2013
"B19001_11_$50,000_to_$59,999",1817,3445,6036,22534,26171,16930,4758,245,1549,20341,1233,4787,9029,258,3132,2951,1111,4606,642,224,837,1250,588,1720,2009-2013
"B19001_12_$60,000_to_$74,999",2859,4705,8527,31125,33147,21191,8083,842,1873,31481,2299,7656,11806,292,4645,3789,1619,6611,676,402,862,1364,453,2022,2009-2013
"B19001_13_$75,000_to_$99,999",4562,7969,12379,45517,45937,28956,13048,761,2513,50036,3244,13315,19130,323,6202,6273,2239,9239,996,471,978,1665,680,2926,2009-2013
"B19001_14_$100,000_to_$124,999",4029,7284,11303,40077,34407,22913,11142,538,1594,47033,3040,14148,15725,259,5407,5113,1355,7036,919,536,716,1165,565,2169,2009-2013
"B19001_15_$125,000_to_$149,999",3548,5148,7851,31180,23858,15829,8449,518,1102,36102,2135,12718,13877,240,3519,4546,828,5464,800,545,365,1274,248,1261,2009-2013
"B19001_16_$150,000_to_$199,999",4313,6247,9713,43919,26438,20912,11879,591,1001,54242,2517,18082,18252,189,4304,5853,826,6589,1110,710,516,803,371,1327,2009-2013
"B19001_17_$200,000_or_more",2845,4824,7049,62432,18404,31265,17723,524,513,79312,2503,21207,17038,217,2279,4759,530,8822,1339,1159,407,776,218,897,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),95477,93160,84570,98221,73623,65830,103208,77597,64423,110292,88409,122238,98071,56438,78345,97110,61610,85706,97242,120000,47040,71036,71227,65304,2009-2013
B25001_1_total,33996,55645,90910,377824,328432,298327,106740,6246,17773,408180,25738,112504,139258,3884,45369,44550,16002,72799,8714,5473,10888,13177,4884,22146,2009-2013
B25003_1_total,30923,51247,86337,360563,303441,263649,94454,5580,16039,389908,23130,106997,132442,3261,41709,42178,14387,65369,8492,5020,9779,12072,4435,19889,2009-2013
B25003_2_owner_occupied,25158,40672,65037,242592,189759,111070,42654,4447,11711,269167,18530,83100,95506,2553,32318,32435,10436,28337,5812,2981,3721,7865,2825,14943,2009-2013
B25003_3_renter_occupied,5765,10575,21300,117971,113682,152579,51800,1133,4328,120741,4600,23897,36936,708,9391,9743,3951,37032,2680,2039,6058,4207,1610,4946,2009-2013
B25024_1_total,33996,55645,90910,377824,328432,298327,106740,6246,17773,408180,25738,112504,139258,3884,45369,44550,16002,72799,8714,5473,10888,13177,4884,22146,2009-2013
"B25024_2_1,_detached",29293,40389,57553,182149,167847,35892,28720,5675,13668,198288,21471,60999,77954,3794,35555,33309,12937,10685,4922,2321,4485,5671,2558,16962,2009-2013
"B25024_3_1,_attached",2074,9220,17377,69495,52320,76428,10056,137,1474,94019,1830,32623,37206,16,3925,6055,926,16068,1665,733,1191,4185,1364,1692,2009-2013
B25024_4_2,461,257,1320,1806,1795,8816,1032,144,124,1578,392,398,725,12,111,113,231,999,0,11,315,18,7,315,2009-2013
B25024_5_3_or_4,192,934,1472,4581,5673,22514,3927,18,396,4847,318,1161,1508,14,246,370,544,2208,144,124,380,239,23,524,2009-2013
B25024_6_5_to_9,188,941,2472,18889,23251,19132,5832,108,482,19328,186,3229,3310,17,467,964,286,6393,413,150,717,554,27,494,2009-2013
B25024_7_10_to_19,583,1003,6792,36270,50025,32406,8236,53,545,40062,581,8099,12706,0,924,1542,473,9893,1062,234,2021,1714,217,423,2009-2013
B25024_8_20_to_49,275,1023,1268,11229,6165,25705,5536,0,209,13326,168,2312,2256,0,716,643,52,3827,131,168,940,249,225,131,2009-2013
B25024_9_50_or_more,482,935,1846,52770,19721,77144,42986,86,88,34606,236,3256,2318,0,848,434,22,22610,317,1732,799,315,457,142,2009-2013
B25024_10_mobile_home,448,903,791,532,1547,117,399,14,775,1978,556,392,1271,31,2544,1120,531,116,60,0,40,232,6,1463,2009-2013
"B25024_11_boat,_rv,_van,_etc.",0,40,19,103,88,173,16,11,12,148,0,35,4,0,33,0,0,0,0,0,0,0,0,0,2009-2013
B25077_1_median_value_(dollars),357000,297900,307000,446300,269800,445200,584600,342500,250600,476600,350600,437700,321400,394800,249100,299300,219000,476700,456700,660900,314300,245000,213300,214400,2009-2013
B25034_1_total,33996,55645,90910,377824,328432,298327,106740,6246,17773,408180,25738,112504,139258,3884,45369,44550,16002,72799,8714,5473,10888,13177,4884,22146,2009-2013
B25034_2_built_2010_or_later,195,833,806,1870,1438,1821,1259,20,69,2019,167,2746,1622,38,351,560,129,256,25,15,290,84,0,32,2009-2013
B25034_3_built_2000_to_2009,6206,12067,17258,43376,36042,24702,16900,1096,4781,49592,4791,43825,42600,315,11466,12989,2640,8122,751,839,1631,1008,1311,5070,2009-2013
B25034_4_built_1990_to_1999,9152,11452,19870,46808,43483,8995,9770,804,3196,62709,3853,31452,24407,698,13360,11459,2437,8128,915,271,746,2188,1064,3821,2009-2013
B25034_5_built_1980_to_1989,7718,10950,15705,81548,44405,12740,12016,809,2409,95920,6215,14492,28654,701,9873,8609,2542,7063,606,235,1047,5326,549,3868,2009-2013
B25034_6_built_1970_to_1979,5183,9325,12907,62687,52814,22412,11388,1005,2412,85041,4259,8666,22836,376,5703,5813,2724,13003,1192,876,2376,1965,389,3632,2009-2013
B25034_7_built_1960_to_1969,1609,5075,6166,56615,69790,36805,12425,530,1433,57841,1514,4282,11597,412,1751,2167,1494,13027,2273,1031,1641,1662,502,1612,2009-2013
B25034_8_built_1950_to_1959,1301,2306,4785,47725,45252,42685,16769,537,1382,39691,1510,1914,4211,226,1354,1408,1554,8860,2359,1069,935,419,1057,1123,2009-2013
B25034_9_built_1940_to_1949,1087,1489,2390,19751,19756,43234,16609,397,564,10183,408,938,1399,217,640,709,970,8048,370,702,575,176,0,622,2009-2013
B25034_10_built_1939_or_earlier,1545,2148,11023,17444,15452,104933,9604,1048,1527,5184,3021,4189,1932,901,871,836,1512,6292,223,435,1647,349,12,2366,2009-2013
B25127_1_total,30923,51247,86337,360563,303441,263649,94454,5580,16039,389908,23130,106997,132442,3261,41709,42178,14387,65369,8492,5020,9779,12072,4435,19889,2009-2013
B25127_2_owner_occupied,25158,40672,65037,242592,189759,111070,42654,4447,11711,269167,18530,83100,95506,2553,32318,32435,10436,28337,5812,2981,3721,7865,2825,14943,2009-2013
B25127_3_built_2000_or_later,4706,9496,13452,25307,24342,8637,4894,1031,3848,28630,4287,36465,32354,293,8731,10034,2123,2865,657,428,1000,568,488,3935,2009-2013
