B01001_3_under_5_years,25322,26863,24008,2614,10793,25416,16228,12931,20470,17804,9156,3387,17865,2529,1511,10852,3810,7883,1052,27442,4087,23400,54737,7168,99209,37773,41896,12651,2228,74036,14012,12245,41232,4163,28448,2012-2016
B01001_4_5_to_9_years,28834,26524,18475,3334,10744,25427,19266,15543,18989,17029,10579,4357,18968,3193,1983,12152,4994,9060,1524,32049,5090,24532,51988,8006,84834,41624,31687,14146,2758,65634,15678,13776,46672,4600,31709,2012-2016
B01001_5_10_to_14_years,30110,27596,17309,4531,12302,26675,21702,17348,19937,17485,12222,4682,18510,3490,1744,11747,5346,9080,1878,33007,5651,27479,49531,9154,78886,45228,30102,14512,3516,63367,14946,11889,50563,5005,33084,2012-2016
B01001_6_15_to_17_years,19349,15980,10562,3174,7258,16606,13909,11078,11296,10707,7571,3364,11409,2312,1296,7428,3946,5898,1253,21024,3904,17528,30985,6280,47344,29406,17382,9055,2243,38940,9706,7808,32747,3270,21233,2012-2016
B01001_7_18_and_19_years,11282,10506,7348,1851,6487,12744,8178,6641,6159,7202,4153,1803,6982,1399,652,4665,2990,5133,761,13407,2193,13327,21857,5317,28625,18266,16097,6443,1325,24809,5697,4510,20809,2658,13180,2012-2016
B01001_8_20_years,4599,5461,4474,765,3361,7154,3454,2336,3436,3400,1889,868,4022,704,470,2625,1393,2653,342,5498,809,6790,13998,2681,17721,9186,8324,3997,643,16075,3176,2205,10402,1277,5817,2012-2016
B01001_9_21_years,5782,5728,4429,884,3375,6590,3754,2942,3077,3837,1470,973,3767,802,222,2172,1156,2504,330,5731,971,5884,11970,2496,16909,8842,9283,3046,392,14863,3653,2204,10164,1402,6144,2012-2016
B01001_10_22_to_24_years,16641,16287,15178,3106,8115,15146,11832,9105,9778,11151,5975,2682,10083,1897,939,6824,3890,5714,1015,17995,3280,17830,35149,6360,57012,25898,37851,9234,2145,47863,9224,6607,30553,3682,17808,2012-2016
B01001_11_25_to_29_years,25966,26510,35543,2771,12339,29119,17337,13280,16571,17323,8562,3836,17644,2953,1734,11389,4958,9000,1189,26749,4645,28854,56638,9035,117564,39828,91645,10568,2668,95380,16184,9795,45045,5804,27283,2012-2016
B01001_12_30_to_34_years,28053,26097,36531,2604,11919,29144,16268,14017,15756,16615,9470,3585,18081,2812,1757,11326,4084,8451,1219,27732,4586,26926,49108,8344,108819,37258,84089,10675,2575,92020,14695,9130,42007,5283,27946,2012-2016
B01001_13_35_to_39_years,29481,26536,28965,2949,10948,28647,16296,13960,14915,16975,10498,3866,19132,2798,1811,10220,4174,8456,1529,29243,4652,23980,42516,8059,91382,38585,63793,10704,2771,83707,13963,8594,43948,4863,29853,2012-2016
B01001_14_40_to_44_years,31412,27980,25082,3756,13461,29804,20522,17085,15544,15433,11300,4641,18949,3427,2102,11959,4611,9202,1583,30340,5638,26359,41878,9660,81079,41948,56110,12264,3325,79577,15769,9166,49359,6166,31809,2012-2016
B01001_15_45_to_49_years,34132,28016,21690,5080,13166,29367,23605,19974,17611,17245,13112,6016,19850,4248,2444,11937,6241,10464,2136,35180,7145,29456,44259,11266,74692,48068,53160,13646,4171,79060,16302,10265,57770,6750,35092,2012-2016
B01001_16_50_to_54_years,35822,27544,20655,6046,13484,29687,26541,21159,19197,17510,14039,6589,20370,4652,2586,12822,7133,11248,2440,36297,8245,31456,42640,12462,73822,51707,50419,14093,4530,79599,17096,10934,61158,7419,35892,2012-2016
B01001_17_55_to_59_years,32603,23826,17354,5827,12223,26695,24573,18356,18422,16011,12597,6106,18793,4447,2662,11999,6832,11019,2419,32968,8113,29490,35919,11262,68167,48890,44407,12597,3961,73309,15426,10246,51953,6764,32687,2012-2016
B01001_18_60_and_61_years,11889,8651,6546,1751,4027,10693,8363,6561,6697,5194,3852,2176,5937,1272,953,4282,2431,4013,916,11537,3134,10787,13565,4355,25495,17898,17714,4168,1434,26265,6205,3815,19011,2867,10895,2012-2016
B01001_19_62_to_64_years,15355,10770,8630,2708,6201,12341,11400,8399,10126,7963,5536,3044,7660,1903,1379,6110,3012,5245,974,14419,4018,14469,17178,5103,35270,22950,23918,5841,2012,34696,8146,4525,25195,3703,16153,2012-2016
B01001_20_65_and_66_years,9648,6797,4853,1440,3755,7322,6555,5090,6763,4291,3254,1731,5067,1094,920,3515,1992,3358,733,9022,2343,8920,9289,3610,21024,14855,13708,3355,1188,20611,5050,2848,15005,2288,9009,2012-2016
B01001_21_67_to_69_years,12238,7804,5526,2022,4127,9579,8647,6732,9407,5719,3673,2266,5921,1719,1148,4735,2385,4362,1178,10912,3199,10891,12551,3843,24864,18036,17065,4510,1510,24547,5836,4073,19144,2748,12130,2012-2016
B01001_22_70_to_74_years,14533,9597,7486,2283,4850,11658,10591,7834,13464,6797,4948,2523,6995,1747,1419,5818,3165,5370,1460,13592,3915,13624,15992,4478,30537,21132,24385,5087,1727,32005,7371,4903,24893,3677,14764,2012-2016
B01001_23_75_to_79_years,11189,6871,5085,1304,3832,8308,6947,5271,9529,4742,3359,1636,4248,1044,945,4127,1707,4001,909,9884,2312,9775,11601,3430,21944,15607,16508,3217,1155,23444,5052,3847,17137,2090,11035,2012-2016
B01001_24_80_to_84_years,7685,4332,3593,1100,2723,5527,4698,4252,7838,3237,2388,898,4393,857,748,3105,1300,2917,709,7378,1842,6307,7284,2664,15042,12265,11791,2445,678,15991,3375,2581,12373,1884,8524,2012-2016
B01001_25_85_years_and_over,8404,4442,2888,825,2152,5572,4693,4205,7086,3178,2297,730,3523,916,519,3020,982,2479,543,7084,1697,7222,5807,2164,14718,12911,11898,2031,433,14212,2533,2170,10211,1268,7841,2012-2016
B01001_26_female,479981,411868,336316,62983,189459,422631,322173,254116,304098,260356,169786,72935,282267,54880,32386,183963,84594,153010,28118,483128,93672,445588,760345,148708,1371893,698640,861757,187957,50020,1190001,244229,164506,760779,90874,500893,2012-2016
B01001_27_under_5_years,24173,25908,22974,2405,10439,24299,15765,12143,19495,16998,8775,3392,17353,2618,1487,10487,3777,7317,1020,26397,3751,22208,52717,6769,94642,36085,40128,12064,2273,70598,13408,11898,39708,4000,26873,2012-2016
B01001_28_5_to_9_years,27291,25302,18217,3066,10817,25160,19272,14592,19079,16418,10236,4379,17638,3099,1645,11443,4507,7842,1344,30442,4468,23556,48920,7983,81936,39963,31250,13743,3026,62311,13405,12299,43423,4501,29295,2012-2016
B01001_29_10_to_14_years,29057,26989,16297,4503,11187,25135,20290,16966,17978,16816,11328,4417,18520,3432,1995,10875,5343,9370,1827,31741,5578,26391,48711,8575,75344,42387,29412,13172,3101,60624,15570,12049,48884,4970,31941,2012-2016
B01001_30_15_to_17_years,18357,15781,9805,2812,7142,15353,13423,10508,10682,10152,7224,3100,10919,2223,1102,7072,3670,5546,1221,19904,3549,16591,29842,5830,46174,27949,17498,8507,2162,37368,9103,7418,31222,3089,19789,2012-2016
B01001_31_18_and_19_years,10618,9934,6388,1404,6848,11678,7546,6240,5683,7231,3709,1696,6434,1312,552,4809,2938,4529,661,13042,1813,13502,20449,5391,27901,17160,21509,5115,1125,23225,5417,4208,18632,2772,13394,2012-2016
B01001_32_20_years,5025,5869,3584,404,3373,6829,3653,2765,3479,3604,1362,1038,2971,818,283,2415,1664,2207,331,5252,870,6617,12693,3054,17299,8053,10695,2387,612,14757,3328,2260,9905,1662,6109,2012-2016
B01001_33_21_years,5179,4720,3889,478,2952,6473,3164,2417,3038,3895,1725,739,3427,670,270,2629,1504,2232,179,5714,778,6013,12457,2645,17507,8265,11193,2879,405,14249,3361,1814,9435,1339,5565,2012-2016
B01001_34_22_to_24_years,15484,16193,14644,2042,8029,14608,11112,8346,9382,11089,5544,2361,10561,1715,1014,6660,2960,5235,853,16581,2997,17311,35630,5509,61814,25951,43059,7067,1685,50329,9300,6465,28919,3100,17557,2012-2016
B01001_35_25_to_29_years,25729,27193,34371,2508,11157,28920,16174,12441,15796,17048,8342,3322,17027,2693,1717,11404,4254,8338,1216,26027,4349,29169,59885,7843,126332,37795,106774,10042,2283,96023,15614,8970,41554,5100,26541,2012-2016
B01001_36_30_to_34_years,29058,28249,34426,2686,11492,29149,16466,13927,15387,16863,9834,3559,18534,2729,1668,11551,4050,8601,1178,28400,4553,27997,55393,7775,116212,37643,88205,10776,2472,92200,14971,8935,40820,4946,28295,2012-2016
B01001_37_35_to_39_years,31646,28466,26264,3282,11432,29042,17238,14417,15175,16790,11327,4078,19143,3047,1535,10978,4826,8679,1310,28510,4684,26222,52363,8207,98034,39740,64005,11223,3005,84097,14731,8705,43461,4806,30662,2012-2016
B01001_38_40_to_44_years,32743,29391,24040,4122,13072,28579,21778,18276,15873,16871,11864,4828,19750,3645,2290,11414,5237,9654,1991,34224,5930,27571,47025,9138,90431,45172,56043,12498,3308,81027,17275,9737,51759,5655,34554,2012-2016
B01001_39_45_to_49_years,36924,29872,21658,5747,13563,29703,25510,21041,18426,17989,14064,6214,20990,4401,2429,12426,6632,10658,2201,37737,7484,31454,51700,11326,85468,51957,52141,14129,4444,82251,17637,10855,59929,6482,37649,2012-2016
B01001_40_50_to_54_years,37856,29330,21181,6437,14063,30674,28088,21665,20334,18374,14718,6825,21400,4912,2511,13368,7293,11585,2528,38911,8473,33589,51093,12345,86336,55724,50863,14506,4660,84714,18438,11478,62633,7345,38589,2012-2016
B01001_41_55_to_59_years,36263,27077,18991,5795,12273,28112,25890,19231,20054,16321,13031,6411,19130,4451,2880,12115,6992,11181,2300,34410,8449,31219,44672,11264,81860,50851,48883,12290,4010,80901,17468,10840,55394,7177,36826,2012-2016
B01001_42_60_and_61_years,12532,9908,7805,1943,5243,10934,8470,6842,7768,6358,4203,2329,7152,1320,862,5136,2205,4198,812,12802,3075,11790,16444,3827,31369,20201,21205,4514,1397,30799,6300,4004,19653,2569,12167,2012-2016
B01001_43_62_to_64_years,16632,13095,9531,2616,6875,13901,12338,8757,12110,8941,5684,2712,9003,2127,1277,6566,3290,6225,1163,15472,4074,16792,20952,5645,43788,25921,29077,6509,1975,39485,9313,5031,25759,3961,16736,2012-2016
B01001_44_65_and_66_years,10732,8152,6016,1348,3925,9225,7422,5600,8670,5026,3571,1680,5342,1355,948,4198,1896,3399,972,10005,2632,10088,13554,3580,27652,16006,18807,3558,1219,25417,5134,3814,17988,2604,10986,2012-2016
B01001_45_67_to_69_years,13592,9070,7522,2062,5198,10748,9360,7299,11623,6839,3935,2202,7194,1906,978,4938,2446,4986,1269,12705,3207,12846,16196,4069,31847,20168,23622,4936,1742,31344,7282,4913,22287,2920,13522,2012-2016
B01001_46_70_to_74_years,18575,13735,9400,2480,6065,13493,12458,9740,16890,8809,6328,2911,9119,1850,1679,7157,3366,6439,1427,16625,4322,16733,23530,5999,41313,26693,32418,6137,1750,40473,9390,5693,29108,3957,19037,2012-2016
B01001_47_75_to_79_years,14491,9640,7451,1901,4685,10669,8838,7210,12896,6243,4420,1651,6661,1509,1046,5144,2019,4662,970,12990,2963,12388,17701,4122,32265,20377,23107,4010,1195,31526,6163,4490,22354,2741,15690,2012-2016
B01001_48_80_to_84_years,12264,8114,5734,1215,4060,8708,7629,5787,10238,5312,3740,1370,6114,1375,1041,5049,1743,3911,544,11195,2093,10340,13012,3633,25637,18220,18084,3263,972,25015,5201,3762,17832,2514,12378,2012-2016
B01001_49_85_years_and_over,15760,9880,6128,1727,5569,11239,10289,7906,14042,6369,4822,1721,7885,1673,1177,6129,1982,6216,801,14042,3580,15201,15406,4179,30732,26359,23779,4632,1199,31268,6420,4868,20120,2664,16738,2012-2016
B02001_1_total,930310,792586,668526,125708,371101,831852,627532,498215,586166,507204,331686,144694,550436,107095,64330,358792,167126,300520,56210,941618,185141,860874,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,180505,969229,2012-2016
B02001_2_white_alone,658572,330789,370874,114597,235205,502779,516179,406016,537404,321733,225368,134806,315833,95863,61831,282360,129349,259549,50416,694622,172643,644385,295351,233311,1128927,945893,928883,281602,89000,936414,355407,228430,1212079,155745,641027,2012-2016
B02001_3_black_or_african_american_alone,54765,318221,85172,3291,75905,82640,45729,15730,18082,62932,30707,3056,116934,4474,1161,24174,23320,15282,3259,107282,3154,110829,476525,30648,871223,155583,244787,38663,2354,423451,48941,40574,114292,10674,140015,2012-2016
B02001_4_american_indian_and_alaska_native_alone,1777,2104,2125,66,451,1557,952,534,600,2242,663,73,1435,176,102,701,539,1132,102,2441,286,1688,8375,1244,8730,3070,6173,1320,747,8976,1134,597,3499,274,3863,2012-2016
B02001_5_asian_alone,147370,39694,99280,4532,38667,196289,33380,49582,11113,26552,54935,2748,26599,2993,301,11680,3563,8132,793,47742,3511,33744,52462,11120,304037,118271,192573,10058,2235,572759,38052,19589,56762,3504,55359,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,303,214,513,196,118,228,228,21,210,139,17,24,105,14,0,134,84,53,35,392,6,163,706,135,1001,241,946,71,15,1091,251,26,507,46,207,2012-2016
B02001_7_some_other_race_alone,45625,80468,89152,1231,13588,30038,18638,16240,10089,74690,13421,1759,75580,2012,207,29356,5077,6790,484,62931,2664,46626,551787,10184,225869,88759,192292,31541,3011,288733,18584,25602,74145,3423,99420,2012-2016
B02001_8_two_or_more_races,21898,21096,21410,1795,7167,18321,12426,10092,8668,18916,6575,2228,13950,1563,728,10387,5194,9582,1121,26208,2877,23439,51579,9263,67065,44984,69335,12987,2046,78587,10955,7824,36846,6839,29338,2012-2016
B02001_9_two_races_including_some_other_race,5027,5806,7557,364,1329,6180,1607,1597,1117,3838,1148,279,4127,96,18,2237,1047,1668,349,7999,483,5578,23593,1602,16020,16061,15444,3736,310,29005,2571,2423,10504,773,8887,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",16871,15290,13853,1431,5838,12141,10819,8495,7551,15078,5427,1949,9823,1467,710,8150,4147,7914,772,18209,2394,17861,27986,7661,51045,28923,53891,9251,1736,49582,8384,5401,26342,6066,20451,2012-2016
B11001_1_total,337069,279480,251693,46935,130129,283279,232868,179734,222609,161534,116456,53648,186890,41454,25813,135363,57127,112819,21135,335209,74339,326487,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,69335,341762,2012-2016
B11001_2_family_households,243146,180784,155981,34064,88385,206018,161743,129543,148913,118127,84367,38892,133871,28761,16910,90319,40649,78084,15231,235064,49692,205418,322587,71696,587692,337726,311464,88380,25910,525378,122894,74009,361577,43049,236644,2012-2016
B11001_3_married-couple_family,190962,108934,97900,29078,65177,158620,128543,107204,118028,79207,69827,31728,93117,22779,13093,65600,31101,60236,12150,179406,39964,146029,135167,55594,353101,267592,204306,68157,21711,349676,90543,59652,281448,32309,176161,2012-2016
B11001_4_other_family,52184,71850,58081,4986,23208,47398,33200,22339,30885,38920,14540,7164,40754,5982,3817,24719,9548,17848,3081,55658,9728,59389,187420,16102,234591,70134,107158,20223,4199,175702,32351,14357,80129,10740,60483,2012-2016
"B11001_5_male_householder,_no_wife_present",14652,16622,16130,1613,5813,13921,8706,6255,9082,9472,3633,2342,10878,1873,1099,6468,2857,4974,1192,14140,3128,13906,37625,4264,54938,18650,23460,5552,1215,50352,8019,4283,22335,3405,16285,2012-2016
"B11001_6_female_householder,_no_husband_present",37532,55228,41951,3373,17395,33477,24494,16084,21803,29448,10907,4822,29876,4109,2718,18251,6691,12874,1889,41518,6600,45483,149795,11838,179653,51484,83698,14671,2984,125350,24332,10074,57794,7335,44198,2012-2016
B11001_7_nonfamily_households,93923,98696,95712,12871,41744,77261,71125,50191,73696,43407,32089,14756,53019,12693,8903,45044,16478,34735,5904,100145,24647,121069,168153,35253,351111,102504,441921,36764,8192,253926,43120,25029,128181,26286,105118,2012-2016
B11001_8_householder_living_alone,80022,84537,71291,10890,34915,64500,60216,42465,64428,37161,27232,11958,45883,10322,6964,36707,12831,28037,4947,82289,19898,101658,148233,28904,271241,87955,355832,30702,6928,204044,37654,21241,106703,21203,90786,2012-2016
B11001_9_householder_not_living_alone,13901,14159,24421,1981,6829,12761,10909,7726,9268,6246,4857,2798,7136,2371,1939,8337,3647,6698,957,17856,4749,19411,19920,6349,79870,14549,86089,6062,1264,49882,5466,3788,21478,5083,14332,2012-2016
B15002_1_total,653207,526945,470945,88335,247879,566559,434984,346314,404208,332386,228768,101456,371007,74882,47165,243937,113238,208317,40619,636392,135352,591915,905151,202687,1753695,934765,1237623,238224,69769,1630963,324340,202987,1024860,129015,661283,2012-2016
B15002_2_male,308410,245773,230427,42466,119207,273463,207036,166175,188926,158233,108885,49643,176563,35889,23127,116364,55007,99585,19937,302337,65484,278516,406225,99735,804419,441938,580610,115201,34138,774423,153003,96892,494209,63574,310913,2012-2016
B15002_3_no_schooling_completed,3480,4429,4497,286,1439,3437,1598,1116,1532,2959,996,225,3211,383,125,1287,635,992,150,2910,425,3347,15464,1038,22113,5457,10640,1609,456,23229,1777,1788,7686,445,4141,2012-2016
B15002_4_nursery_to_4th_grade,1558,3203,3246,198,852,2401,826,706,444,2101,281,198,3620,112,42,653,193,337,1,2979,193,1782,9562,386,10054,3908,5115,496,192,8782,667,643,4099,218,3284,2012-2016
B15002_5_5th_and_6th_grade,3689,6155,7142,161,3086,3940,1711,1521,1707,4771,497,106,4597,424,24,1084,191,521,89,6095,431,2502,16453,874,25389,6471,9766,977,416,27326,2195,2363,6151,439,9271,2012-2016
B15002_6_7th_and_8th_grade,3404,5556,5378,229,2224,4902,2019,1367,2589,4636,1106,439,3484,596,366,1898,702,1212,248,5087,874,4132,17727,1040,20460,5801,12178,1306,428,18518,2191,1398,6164,795,5566,2012-2016
B15002_7_9th_grade,2116,4444,4042,240,1900,3151,1922,947,1937,2508,580,455,2705,426,337,1613,424,1383,253,3497,881,3625,12800,1166,20009,4016,7126,1423,205,16609,1671,1038,5608,872,4296,2012-2016
B15002_8_10th_grade,2763,4113,4097,358,1879,3689,2374,1530,3284,3618,1034,577,2775,728,711,2540,1279,1973,329,3681,1075,4798,15821,1827,15940,4195,8715,1742,417,14092,2230,1080,6018,1406,3846,2012-2016
B15002_9_11th_grade,2739,6368,3616,382,2487,3541,2504,1127,2957,3401,783,690,3002,600,696,2551,1608,1688,366,3860,922,4898,17280,2339,18141,4142,9424,2409,360,13435,2410,1253,7464,1861,4333,2012-2016
"B15002_10_12th_grade,_no_diploma",4415,5306,4858,451,2308,4172,3155,1788,4185,3592,1117,717,3619,548,391,2224,1187,1628,496,4797,990,4315,13983,1950,30557,7600,10762,2514,516,25666,3909,3381,9033,997,6871,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),72521,72678,60921,9741,30526,72104,50300,34954,62756,55904,22122,15998,53123,11879,11135,39410,20947,35236,7251,67699,21106,89240,119858,27658,208212,99563,75344,35800,9528,215719,47340,21276,140932,21148,62481,2012-2016
"B15002_12_some_college,_less_than_1_year",13141,9920,7449,1965,5780,11964,10959,7206,13585,6838,4118,3455,7409,2326,1260,6242,3609,6412,1428,11639,3824,14247,16153,6238,24855,19659,13689,7365,1600,30288,8340,4774,27286,3901,11658,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",33733,30848,25021,4604,12939,29899,24780,16798,27630,18160,11243,6890,22699,4521,2292,12799,8075,12122,3268,32524,8480,33782,56998,13607,91853,57195,47622,18324,4684,88199,22373,12057,65614,7448,34118,2012-2016
B15002_14_associate's_degree,14995,11487,9804,2268,5545,14702,12882,8617,12372,7790,5314,3495,8886,2520,2077,9664,3917,8084,1422,14638,5109,16915,25058,8719,45562,32329,18707,10010,2991,58740,11916,7200,40820,5958,17018,2012-2016
B15002_15_bachelor's_degree,91873,48351,56043,12459,24782,66499,55708,50940,36187,27859,31922,11365,34453,7229,2375,21205,7918,18218,2812,77913,12535,53098,46048,18633,169136,110510,184892,18970,7674,152231,29596,22012,97984,10541,72861,2012-2016
B15002_16_master's_degree,38036,20073,25133,5972,13831,35854,23903,25359,12750,9633,18024,3569,15217,2702,954,8844,3357,6354,1266,44448,5915,25464,15568,9745,71458,49143,96666,9036,3232,57422,11232,11221,44889,5294,41608,2012-2016
B15002_17_professional_school_degree,13592,8521,5747,1729,3647,7155,8022,7733,3384,2941,4851,952,4926,555,214,2353,561,1794,340,14577,1725,8864,4424,2373,21264,24798,47324,1862,825,15682,3761,3608,15656,1222,21518,2012-2016
B15002_18_doctorate_degree,6355,4321,3433,1423,5982,6053,4373,4466,1627,1522,4897,512,2837,340,128,1997,404,1631,218,5993,999,7507,3028,2142,9416,7151,22640,1358,614,8485,1395,1800,8805,1029,8043,2012-2016
B15002_19_female,344797,281172,240518,45869,128672,293096,227948,180139,215282,174153,119883,51813,194444,38993,24038,127573,58231,108732,20682,334055,69868,313399,498926,102952,949276,492827,657013,123023,35631,856540,171337,106095,530651,65441,350370,2012-2016
B15002_20_no_schooling_completed,4245,5159,4731,267,1546,4256,1659,1403,1625,3673,1039,233,3385,454,140,1370,437,905,142,3284,403,3295,18699,1050,28211,6397,13594,1558,365,31009,2338,1632,7518,711,5071,2012-2016
B15002_21_nursery_to_4th_grade,1959,3288,4446,79,556,3513,739,757,603,2652,473,95,2651,172,25,504,93,417,13,2554,268,2242,14162,323,12919,3944,8588,560,179,11727,1064,893,3832,300,4240,2012-2016
B15002_22_5th_and_6th_grade,4131,5194,8500,295,2203,4271,1703,1655,1649,4795,756,162,4637,227,17,1337,459,519,42,5097,466,3137,18869,884,28913,6845,12962,1048,333,30281,2261,1843,5885,309,7994,2012-2016
B15002_23_7th_and_8th_grade,4200,5515,6174,242,2231,6105,2454,1715,2394,6264,1047,357,3754,499,452,2519,762,1782,254,4764,976,4883,21778,1057,25365,5998,12665,1451,346,22465,2308,1413,6322,841,5111,2012-2016
B15002_24_9th_grade,1991,4112,4177,296,1499,2547,1379,748,1953,2407,561,230,2686,357,230,1914,481,1187,183,3471,726,3863,15659,884,19198,3902,8740,1345,127,18403,1920,936,5357,964,2984,2012-2016
B15002_25_10th_grade,3261,4276,3977,343,1829,3939,1979,1126,3089,3366,966,692,2711,577,516,2885,1149,2157,397,3753,861,5331,16272,1488,18860,4028,8829,1361,149,13961,2364,1217,5480,1006,3904,2012-2016
B15002_26_11th_grade,3693,6949,4567,321,2337,3515,2345,1305,3178,4138,861,519,2447,485,708,2862,1582,1718,455,4542,825,5274,21269,1996,22334,4910,10901,3214,292,13303,3072,1565,7048,922,5116,2012-2016
"B15002_27_12th_grade,_no_diploma",4545,6602,4749,547,2172,5134,3464,2089,3627,3335,1475,473,3472,623,302,1872,651,1531,341,3927,914,4746,15224,1695,32583,7653,10840,2204,322,26699,3686,3425,8749,707,5953,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),84076,77530,62332,10070,31984,75716,58862,40158,79727,57707,26267,15667,56270,12731,10893,41896,20355,37963,6938,74590,18823,90345,128316,26232,244237,122327,79974,35305,9278,229057,54657,24251,154876,18253,67895,2012-2016
"B15002_29_some_college,_less_than_1_year",14844,12888,8004,2127,6446,14203,12696,8722,15449,7360,4920,3552,7966,2648,1664,7099,3785,7345,1467,14783,4553,16673,19032,5636,29383,20715,15088,7263,1757,31469,8144,4842,28109,3738,13069,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",35787,37221,25469,5451,15118,30126,25991,16224,26832,20851,11932,7036,25641,5011,2713,14737,8989,12326,2931,37788,9015,39415,67969,13918,97396,50053,49524,16618,4142,90948,19878,11532,60635,8665,36919,2012-2016
