B01001_16_50_to_54_years,42640,12462,73822,51707,50419,14093,4530,79599,17096,10934,61158,35892,35822,27544,20655,6046,29687,26541,21159,19197,17510,14039,6589,20370,2440,2012-2016
B01001_17_55_to_59_years,35919,11262,68167,48890,44407,12597,3961,73309,15426,10246,51953,32687,32603,23826,17354,5827,26695,24573,18356,18422,16011,12597,6106,18793,2419,2012-2016
B01001_18_60_and_61_years,13565,4355,25495,17898,17714,4168,1434,26265,6205,3815,19011,10895,11889,8651,6546,1751,10693,8363,6561,6697,5194,3852,2176,5937,916,2012-2016
B01001_19_62_to_64_years,17178,5103,35270,22950,23918,5841,2012,34696,8146,4525,25195,16153,15355,10770,8630,2708,12341,11400,8399,10126,7963,5536,3044,7660,974,2012-2016
B01001_20_65_and_66_years,9289,3610,21024,14855,13708,3355,1188,20611,5050,2848,15005,9009,9648,6797,4853,1440,7322,6555,5090,6763,4291,3254,1731,5067,733,2012-2016
B01001_21_67_to_69_years,12551,3843,24864,18036,17065,4510,1510,24547,5836,4073,19144,12130,12238,7804,5526,2022,9579,8647,6732,9407,5719,3673,2266,5921,1178,2012-2016
B01001_22_70_to_74_years,15992,4478,30537,21132,24385,5087,1727,32005,7371,4903,24893,14764,14533,9597,7486,2283,11658,10591,7834,13464,6797,4948,2523,6995,1460,2012-2016
B01001_23_75_to_79_years,11601,3430,21944,15607,16508,3217,1155,23444,5052,3847,17137,11035,11189,6871,5085,1304,8308,6947,5271,9529,4742,3359,1636,4248,909,2012-2016
B01001_24_80_to_84_years,7284,2664,15042,12265,11791,2445,678,15991,3375,2581,12373,8524,7685,4332,3593,1100,5527,4698,4252,7838,3237,2388,898,4393,709,2012-2016
B01001_25_85_years_and_over,5807,2164,14718,12911,11898,2031,433,14212,2533,2170,10211,7841,8404,4442,2888,825,5572,4693,4205,7086,3178,2297,730,3523,543,2012-2016
B01001_26_female,760345,148708,1371893,698640,861757,187957,50020,1190001,244229,164506,760779,500893,479981,411868,336316,62983,422631,322173,254116,304098,260356,169786,72935,282267,28118,2012-2016
B01001_27_under_5_years,52717,6769,94642,36085,40128,12064,2273,70598,13408,11898,39708,26873,24173,25908,22974,2405,24299,15765,12143,19495,16998,8775,3392,17353,1020,2012-2016
B01001_28_5_to_9_years,48920,7983,81936,39963,31250,13743,3026,62311,13405,12299,43423,29295,27291,25302,18217,3066,25160,19272,14592,19079,16418,10236,4379,17638,1344,2012-2016
B01001_29_10_to_14_years,48711,8575,75344,42387,29412,13172,3101,60624,15570,12049,48884,31941,29057,26989,16297,4503,25135,20290,16966,17978,16816,11328,4417,18520,1827,2012-2016
B01001_30_15_to_17_years,29842,5830,46174,27949,17498,8507,2162,37368,9103,7418,31222,19789,18357,15781,9805,2812,15353,13423,10508,10682,10152,7224,3100,10919,1221,2012-2016
B01001_31_18_and_19_years,20449,5391,27901,17160,21509,5115,1125,23225,5417,4208,18632,13394,10618,9934,6388,1404,11678,7546,6240,5683,7231,3709,1696,6434,661,2012-2016
B01001_32_20_years,12693,3054,17299,8053,10695,2387,612,14757,3328,2260,9905,6109,5025,5869,3584,404,6829,3653,2765,3479,3604,1362,1038,2971,331,2012-2016
B01001_33_21_years,12457,2645,17507,8265,11193,2879,405,14249,3361,1814,9435,5565,5179,4720,3889,478,6473,3164,2417,3038,3895,1725,739,3427,179,2012-2016
B01001_34_22_to_24_years,35630,5509,61814,25951,43059,7067,1685,50329,9300,6465,28919,17557,15484,16193,14644,2042,14608,11112,8346,9382,11089,5544,2361,10561,853,2012-2016
B01001_35_25_to_29_years,59885,7843,126332,37795,106774,10042,2283,96023,15614,8970,41554,26541,25729,27193,34371,2508,28920,16174,12441,15796,17048,8342,3322,17027,1216,2012-2016
B01001_36_30_to_34_years,55393,7775,116212,37643,88205,10776,2472,92200,14971,8935,40820,28295,29058,28249,34426,2686,29149,16466,13927,15387,16863,9834,3559,18534,1178,2012-2016
B01001_37_35_to_39_years,52363,8207,98034,39740,64005,11223,3005,84097,14731,8705,43461,30662,31646,28466,26264,3282,29042,17238,14417,15175,16790,11327,4078,19143,1310,2012-2016
B01001_38_40_to_44_years,47025,9138,90431,45172,56043,12498,3308,81027,17275,9737,51759,34554,32743,29391,24040,4122,28579,21778,18276,15873,16871,11864,4828,19750,1991,2012-2016
B01001_39_45_to_49_years,51700,11326,85468,51957,52141,14129,4444,82251,17637,10855,59929,37649,36924,29872,21658,5747,29703,25510,21041,18426,17989,14064,6214,20990,2201,2012-2016
B01001_40_50_to_54_years,51093,12345,86336,55724,50863,14506,4660,84714,18438,11478,62633,38589,37856,29330,21181,6437,30674,28088,21665,20334,18374,14718,6825,21400,2528,2012-2016
B01001_41_55_to_59_years,44672,11264,81860,50851,48883,12290,4010,80901,17468,10840,55394,36826,36263,27077,18991,5795,28112,25890,19231,20054,16321,13031,6411,19130,2300,2012-2016
B01001_42_60_and_61_years,16444,3827,31369,20201,21205,4514,1397,30799,6300,4004,19653,12167,12532,9908,7805,1943,10934,8470,6842,7768,6358,4203,2329,7152,812,2012-2016
B01001_43_62_to_64_years,20952,5645,43788,25921,29077,6509,1975,39485,9313,5031,25759,16736,16632,13095,9531,2616,13901,12338,8757,12110,8941,5684,2712,9003,1163,2012-2016
B01001_44_65_and_66_years,13554,3580,27652,16006,18807,3558,1219,25417,5134,3814,17988,10986,10732,8152,6016,1348,9225,7422,5600,8670,5026,3571,1680,5342,972,2012-2016
B01001_45_67_to_69_years,16196,4069,31847,20168,23622,4936,1742,31344,7282,4913,22287,13522,13592,9070,7522,2062,10748,9360,7299,11623,6839,3935,2202,7194,1269,2012-2016
B01001_46_70_to_74_years,23530,5999,41313,26693,32418,6137,1750,40473,9390,5693,29108,19037,18575,13735,9400,2480,13493,12458,9740,16890,8809,6328,2911,9119,1427,2012-2016
B01001_47_75_to_79_years,17701,4122,32265,20377,23107,4010,1195,31526,6163,4490,22354,15690,14491,9640,7451,1901,10669,8838,7210,12896,6243,4420,1651,6661,970,2012-2016
B01001_48_80_to_84_years,13012,3633,25637,18220,18084,3263,972,25015,5201,3762,17832,12378,12264,8114,5734,1215,8708,7629,5787,10238,5312,3740,1370,6114,544,2012-2016
B01001_49_85_years_and_over,15406,4179,30732,26359,23779,4632,1199,31268,6420,4868,20120,16738,15760,9880,6128,1727,11239,10289,7906,14042,6369,4822,1721,7885,801,2012-2016
B02001_1_total,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,969229,930310,792586,668526,125708,831852,627532,498215,586166,507204,331686,144694,550436,56210,2012-2016
B02001_2_white_alone,295351,233311,1128927,945893,928883,281602,89000,936414,355407,228430,1212079,641027,658572,330789,370874,114597,502779,516179,406016,537404,321733,225368,134806,315833,50416,2012-2016
B02001_3_black_or_african_american_alone,476525,30648,871223,155583,244787,38663,2354,423451,48941,40574,114292,140015,54765,318221,85172,3291,82640,45729,15730,18082,62932,30707,3056,116934,3259,2012-2016
B02001_4_american_indian_and_alaska_native_alone,8375,1244,8730,3070,6173,1320,747,8976,1134,597,3499,3863,1777,2104,2125,66,1557,952,534,600,2242,663,73,1435,102,2012-2016
B02001_5_asian_alone,52462,11120,304037,118271,192573,10058,2235,572759,38052,19589,56762,55359,147370,39694,99280,4532,196289,33380,49582,11113,26552,54935,2748,26599,793,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,706,135,1001,241,946,71,15,1091,251,26,507,207,303,214,513,196,228,228,21,210,139,17,24,105,35,2012-2016
B02001_7_some_other_race_alone,551787,10184,225869,88759,192292,31541,3011,288733,18584,25602,74145,99420,45625,80468,89152,1231,30038,18638,16240,10089,74690,13421,1759,75580,484,2012-2016
B02001_8_two_or_more_races,51579,9263,67065,44984,69335,12987,2046,78587,10955,7824,36846,29338,21898,21096,21410,1795,18321,12426,10092,8668,18916,6575,2228,13950,1121,2012-2016
B02001_9_two_races_including_some_other_race,23593,1602,16020,16061,15444,3736,310,29005,2571,2423,10504,8887,5027,5806,7557,364,6180,1607,1597,1117,3838,1148,279,4127,349,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",27986,7661,51045,28923,53891,9251,1736,49582,8384,5401,26342,20451,16871,15290,13853,1431,12141,10819,8495,7551,15078,5427,1949,9823,772,2012-2016
B11001_1_total,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,341762,337069,279480,251693,46935,283279,232868,179734,222609,161534,116456,53648,186890,21135,2012-2016
B11001_2_family_households,322587,71696,587692,337726,311464,88380,25910,525378,122894,74009,361577,236644,243146,180784,155981,34064,206018,161743,129543,148913,118127,84367,38892,133871,15231,2012-2016
B11001_3_married-couple_family,135167,55594,353101,267592,204306,68157,21711,349676,90543,59652,281448,176161,190962,108934,97900,29078,158620,128543,107204,118028,79207,69827,31728,93117,12150,2012-2016
B11001_4_other_family,187420,16102,234591,70134,107158,20223,4199,175702,32351,14357,80129,60483,52184,71850,58081,4986,47398,33200,22339,30885,38920,14540,7164,40754,3081,2012-2016
"B11001_5_male_householder,_no_wife_present",37625,4264,54938,18650,23460,5552,1215,50352,8019,4283,22335,16285,14652,16622,16130,1613,13921,8706,6255,9082,9472,3633,2342,10878,1192,2012-2016
"B11001_6_female_householder,_no_husband_present",149795,11838,179653,51484,83698,14671,2984,125350,24332,10074,57794,44198,37532,55228,41951,3373,33477,24494,16084,21803,29448,10907,4822,29876,1889,2012-2016
B11001_7_nonfamily_households,168153,35253,351111,102504,441921,36764,8192,253926,43120,25029,128181,105118,93923,98696,95712,12871,77261,71125,50191,73696,43407,32089,14756,53019,5904,2012-2016
B11001_8_householder_living_alone,148233,28904,271241,87955,355832,30702,6928,204044,37654,21241,106703,90786,80022,84537,71291,10890,64500,60216,42465,64428,37161,27232,11958,45883,4947,2012-2016
B11001_9_householder_not_living_alone,19920,6349,79870,14549,86089,6062,1264,49882,5466,3788,21478,14332,13901,14159,24421,1981,12761,10909,7726,9268,6246,4857,2798,7136,957,2012-2016
B15002_1_total,905151,202687,1753695,934765,1237623,238224,69769,1630963,324340,202987,1024860,661283,653207,526945,470945,88335,566559,434984,346314,404208,332386,228768,101456,371007,40619,2012-2016
B15002_2_male,406225,99735,804419,441938,580610,115201,34138,774423,153003,96892,494209,310913,308410,245773,230427,42466,273463,207036,166175,188926,158233,108885,49643,176563,19937,2012-2016
B15002_3_no_schooling_completed,15464,1038,22113,5457,10640,1609,456,23229,1777,1788,7686,4141,3480,4429,4497,286,3437,1598,1116,1532,2959,996,225,3211,150,2012-2016
B15002_4_nursery_to_4th_grade,9562,386,10054,3908,5115,496,192,8782,667,643,4099,3284,1558,3203,3246,198,2401,826,706,444,2101,281,198,3620,1,2012-2016
B15002_5_5th_and_6th_grade,16453,874,25389,6471,9766,977,416,27326,2195,2363,6151,9271,3689,6155,7142,161,3940,1711,1521,1707,4771,497,106,4597,89,2012-2016
B15002_6_7th_and_8th_grade,17727,1040,20460,5801,12178,1306,428,18518,2191,1398,6164,5566,3404,5556,5378,229,4902,2019,1367,2589,4636,1106,439,3484,248,2012-2016
B15002_7_9th_grade,12800,1166,20009,4016,7126,1423,205,16609,1671,1038,5608,4296,2116,4444,4042,240,3151,1922,947,1937,2508,580,455,2705,253,2012-2016
B15002_8_10th_grade,15821,1827,15940,4195,8715,1742,417,14092,2230,1080,6018,3846,2763,4113,4097,358,3689,2374,1530,3284,3618,1034,577,2775,329,2012-2016
B15002_9_11th_grade,17280,2339,18141,4142,9424,2409,360,13435,2410,1253,7464,4333,2739,6368,3616,382,3541,2504,1127,2957,3401,783,690,3002,366,2012-2016
"B15002_10_12th_grade,_no_diploma",13983,1950,30557,7600,10762,2514,516,25666,3909,3381,9033,6871,4415,5306,4858,451,4172,3155,1788,4185,3592,1117,717,3619,496,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),119858,27658,208212,99563,75344,35800,9528,215719,47340,21276,140932,62481,72521,72678,60921,9741,72104,50300,34954,62756,55904,22122,15998,53123,7251,2012-2016
"B15002_12_some_college,_less_than_1_year",16153,6238,24855,19659,13689,7365,1600,30288,8340,4774,27286,11658,13141,9920,7449,1965,11964,10959,7206,13585,6838,4118,3455,7409,1428,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",56998,13607,91853,57195,47622,18324,4684,88199,22373,12057,65614,34118,33733,30848,25021,4604,29899,24780,16798,27630,18160,11243,6890,22699,3268,2012-2016
B15002_14_associate's_degree,25058,8719,45562,32329,18707,10010,2991,58740,11916,7200,40820,17018,14995,11487,9804,2268,14702,12882,8617,12372,7790,5314,3495,8886,1422,2012-2016
B15002_15_bachelor's_degree,46048,18633,169136,110510,184892,18970,7674,152231,29596,22012,97984,72861,91873,48351,56043,12459,66499,55708,50940,36187,27859,31922,11365,34453,2812,2012-2016
B15002_16_master's_degree,15568,9745,71458,49143,96666,9036,3232,57422,11232,11221,44889,41608,38036,20073,25133,5972,35854,23903,25359,12750,9633,18024,3569,15217,1266,2012-2016
B15002_17_professional_school_degree,4424,2373,21264,24798,47324,1862,825,15682,3761,3608,15656,21518,13592,8521,5747,1729,7155,8022,7733,3384,2941,4851,952,4926,340,2012-2016
B15002_18_doctorate_degree,3028,2142,9416,7151,22640,1358,614,8485,1395,1800,8805,8043,6355,4321,3433,1423,6053,4373,4466,1627,1522,4897,512,2837,218,2012-2016
B15002_19_female,498926,102952,949276,492827,657013,123023,35631,856540,171337,106095,530651,350370,344797,281172,240518,45869,293096,227948,180139,215282,174153,119883,51813,194444,20682,2012-2016
B15002_20_no_schooling_completed,18699,1050,28211,6397,13594,1558,365,31009,2338,1632,7518,5071,4245,5159,4731,267,4256,1659,1403,1625,3673,1039,233,3385,142,2012-2016
B15002_21_nursery_to_4th_grade,14162,323,12919,3944,8588,560,179,11727,1064,893,3832,4240,1959,3288,4446,79,3513,739,757,603,2652,473,95,2651,13,2012-2016
B15002_22_5th_and_6th_grade,18869,884,28913,6845,12962,1048,333,30281,2261,1843,5885,7994,4131,5194,8500,295,4271,1703,1655,1649,4795,756,162,4637,42,2012-2016
B15002_23_7th_and_8th_grade,21778,1057,25365,5998,12665,1451,346,22465,2308,1413,6322,5111,4200,5515,6174,242,6105,2454,1715,2394,6264,1047,357,3754,254,2012-2016
B15002_24_9th_grade,15659,884,19198,3902,8740,1345,127,18403,1920,936,5357,2984,1991,4112,4177,296,2547,1379,748,1953,2407,561,230,2686,183,2012-2016
B15002_25_10th_grade,16272,1488,18860,4028,8829,1361,149,13961,2364,1217,5480,3904,3261,4276,3977,343,3939,1979,1126,3089,3366,966,692,2711,397,2012-2016
B15002_26_11th_grade,21269,1996,22334,4910,10901,3214,292,13303,3072,1565,7048,5116,3693,6949,4567,321,3515,2345,1305,3178,4138,861,519,2447,455,2012-2016
"B15002_27_12th_grade,_no_diploma",15224,1695,32583,7653,10840,2204,322,26699,3686,3425,8749,5953,4545,6602,4749,547,5134,3464,2089,3627,3335,1475,473,3472,341,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),128316,26232,244237,122327,79974,35305,9278,229057,54657,24251,154876,67895,84076,77530,62332,10070,75716,58862,40158,79727,57707,26267,15667,56270,6938,2012-2016
"B15002_29_some_college,_less_than_1_year",19032,5636,29383,20715,15088,7263,1757,31469,8144,4842,28109,13069,14844,12888,8004,2127,14203,12696,8722,15449,7360,4920,3552,7966,1467,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",67969,13918,97396,50053,49524,16618,4142,90948,19878,11532,60635,36919,35787,37221,25469,5451,30126,25991,16224,26832,20851,11932,7036,25641,2931,2012-2016
B15002_31_associate's_degree,37576,11828,63466,40624,28877,13958,3523,72032,13917,9134,51778,23333,21206,18081,12188,3588,20389,18398,13074,18020,10778,8112,4956,12363,1880,2012-2016
B15002_32_bachelor's_degree,67217,19209,193523,113378,208612,20557,8070,164204,31079,23127,94724,85068,102395,57496,57717,13462,73679,58112,54974,37876,30950,34876,12244,40843,3375,2012-2016
B15002_33_master's_degree,29272,13918,104206,79471,124263,13686,5732,80184,19954,16473,74192,62987,44621,27435,25498,6584,36238,30194,28306,16272,12750,20352,4699,19308,1931,2012-2016
B15002_34_professional_school_degree,4707,1493,20014,16582,42926,1921,544,14346,3249,2437,10224,14117,9102,5953,5454,1290,5463,5344,5223,2013,2075,3605,547,4105,248,2012-2016
B15002_35_doctorate_degree,2905,1341,8668,6000,20630,974,472,6452,1446,1375,5922,6609,4741,3473,2535,907,4002,2629,2660,975,1052,2641,351,2205,85,2012-2016
B19001_1_total,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,341762,337069,279480,251693,46935,283279,232868,179734,222609,161534,116456,53648,186890,21135,2012-2016
"B19001_2_less_than_$10,000",76719,4471,103164,13030,70834,6720,762,54716,13279,4018,17471,17716,15972,26169,20443,1344,12444,9466,4751,9713,12444,3277,1363,10108,889,2012-2016
"B19001_3_$10,000_to_$14,999",45398,4235,61462,9832,39354,4847,700,34131,6215,3954,13372,11493,10193,16114,12688,724,8533,7400,3807,9079,7939,2416,1449,6597,855,2012-2016
"B19001_4_$15,000_to_$19,999",36856,3899,53680,11299,32596,5204,1038,37514,6419,3782,14653,11829,10182,15067,12822,1233,9217,7041,3972,10780,8296,2408,1440,7574,994,2012-2016
"B19001_5_$20,000_to_$24,999",30086,4267,48593,12737,27502,5004,836,38091,6268,3877,15186,12368,9921,14627,11879,1089,9936,8807,4702,11363,7544,3110,1658,7723,918,2012-2016
"B19001_6_$25,000_to_$29,999",27848,4305,43708,12600,23958,4571,923,35433,5717,2924,15110,11355,10498,14226,10420,1089,9447,8174,4026,10380,7135,3050,1563,7225,896,2012-2016
"B19001_7_$30,000_to_$34,999",26839,4239,43343,11436,25199,5009,1196,35662,5491,3249,14653,11154,11091,12412,10053,1087,9787,7856,4629,10336,7053,2859,1640,7492,811,2012-2016
"B19001_8_$35,000_to_$39,999",24339,4116,39577,11587,21795,4841,953,32955,5520,3018,13879,10804,10042,11068,9446,945,10463,6282,4710,10040,6128,2893,1600,7813,1138,2012-2016
"B19001_9_$40,000_to_$44,999",22364,3929,39911,12231,21027,4461,781,33772,5323,2899,15283,10601,10181,11092,9273,1214,9351,7177,4505,9105,6878,3526,1704,7114,839,2012-2016
"B19001_10_$45,000_to_$49,999",18635,3502,30698,11333,18000,4141,680,29130,4612,2988,13577,9005,9548,9500,8614,1173,8371,6340,4263,8526,5407,3032,1556,6045,1158,2012-2016
"B19001_11_$50,000_to_$59,999",34602,7432,63296,22041,39689,8232,1992,59360,10035,5698,28857,20000,20062,18505,18408,2510,18659,14234,10273,16574,10248,6175,3673,12863,1893,2012-2016
"B19001_12_$60,000_to_$74,999",39721,10478,83124,33615,54943,11634,2855,80020,15134,7505,43335,26088,28055,23438,22058,3688,26432,18568,14113,22809,13477,9067,5010,18147,2269,2012-2016
"B19001_13_$75,000_to_$99,999",44111,14914,102042,53371,73110,16423,4810,101760,21431,12141,64319,36537,40265,27896,28234,5286,38658,28457,23084,28132,19117,14638,8118,22358,3239,2012-2016
"B19001_14_$100,000_to_$124,999",26552,11668,71598,49331,60461,14125,3676,71846,18671,10803,57720,32523,34742,20847,22575,5202,31832,24592,20662,22765,15463,13540,7303,17751,2007,2012-2016
"B19001_15_$125,000_to_$149,999",14395,8064,45686,40353,42456,9954,3717,45511,13258,7734,42038,23585,26916,13752,14390,4177,23224,18696,15363,14600,9961,9524,4462,12083,904,2012-2016
"B19001_16_$150,000_to_$199,999",12865,9327,51032,57488,60184,11004,4441,51350,15675,10846,58107,34062,38150,17166,18248,6828,27692,25657,22171,16334,12747,13969,6160,15018,1422,2012-2016
"B19001_17_$200,000_or_more",9410,8103,57889,77946,142277,8974,4742,38053,12966,13602,62198,62642,51251,27601,22142,9346,29233,34121,34703,12073,11697,22972,4949,20979,903,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),35302,72706,50640,102044,75513,71910,97606,59758,74021,86134,90128,86226,88487,54860,60894,108177,80716,87297,102798,63108,61664,102405,87388,70476,61199,2012-2016
B25001_1_total,522401,119023,1021747,467127,866644,139757,38321,846689,178603,104651,570464,369925,354772,314384,276087,49875,298832,260222,191081,280508,176639,125232,62236,201107,38506,2012-2016
B25003_1_total,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,341762,337069,279480,251693,46935,283279,232868,179734,222609,161534,116456,53648,186890,21135,2012-2016
B25003_2_owner_occupied,93569,73505,276447,353420,174361,85306,27961,341363,114502,68276,389182,210004,218041,123300,77459,39122,180794,171673,135369,178376,85909,88257,44474,109931,17793,2012-2016
B25003_3_renter_occupied,397171,33444,662356,86810,579024,39838,6141,437941,51512,30762,100576,131758,119028,156180,174234,7813,102485,61195,44365,44233,75625,28199,9174,76959,3342,2012-2016
B25024_1_total,522401,119023,1021747,467127,866644,139757,38321,846689,178603,104651,570464,369925,354772,314384,276087,49875,298832,260222,191081,280508,176639,125232,62236,201107,38506,2012-2016
"B25024_2_1,_detached",29088,75678,54359,353476,7721,86433,30108,160355,62116,60069,456505,164678,189130,103048,27447,37637,157187,171849,127622,212245,73587,73041,49320,103935,35019,2012-2016
"B25024_3_1,_attached",24446,6098,87014,13952,6150,9372,2522,73100,44973,8471,25390,20573,18174,17941,15955,4763,33935,20204,15092,25867,9235,19848,3354,9004,917,2012-2016
B25024_4_2,48300,7655,182124,32942,9192,9429,1626,173759,41549,6687,22112,32118,50887,47845,63787,1744,20661,8972,7306,8717,39950,6716,1633,33553,431,2012-2016
B25024_5_3_or_4,47008,8625,176243,9835,19230,9584,1238,96398,6482,8209,12657,30595,21720,54361,39663,1596,16274,8657,6510,5920,16603,5857,1580,16201,321,2012-2016
B25024_6_5_to_9,18946,7631,110880,6782,46637,9140,1133,47999,2930,7618,16665,18645,12728,18358,30785,1126,17630,10873,5999,5837,11310,5402,2674,7987,210,2012-2016
B25024_7_10_to_19,27638,3703,58172,9602,97324,6284,562,31815,2664,4089,13355,15435,13612,16120,22190,1699,26602,12741,10722,6073,8381,6904,1369,7232,95,2012-2016
B25024_8_20_to_49,128958,2201,131920,12462,202354,2344,556,84314,4192,3397,8408,27266,15323,20110,26156,604,11809,7380,8852,3958,6726,3027,473,10744,96,2012-2016
