B25127_1_total,20808,2013-2017
B25127_20_5_to_19,0,2013-2017
B25127_21_20_to_49,0,2013-2017
B25127_22_50_or_more,0,2013-2017
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",374,2013-2017
B25127_24_built_1960_to_1979,3094,2013-2017
"B25127_25_1,_detached__or_attached",2720,2013-2017
B25127_26_2_to_4,9,2013-2017
B25127_27_5_to_19,0,2013-2017
B25127_28_20_to_49,0,2013-2017
B25127_29_50_or_more,0,2013-2017
B25127_2_owner_occupied,15420,2013-2017
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",365,2013-2017
B25127_31_built_1940_to_1959,840,2013-2017
"B25127_32_1,_detached__or_attached",804,2013-2017
B25127_33_2_to_4,36,2013-2017
B25127_34_5_to_19,0,2013-2017
B25127_35_20_to_49,0,2013-2017
B25127_36_50_or_more,0,2013-2017
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,2013-2017
B25127_38_built_1939_or_earlier,1425,2013-2017
"B25127_39_1,_detached__or_attached",1406,2013-2017
B25127_3_built_2010_or_later,631,2013-2017
B25127_40_2_to_4,11,2013-2017
B25127_41_5_to_19,8,2013-2017
B25127_42_20_to_49,0,2013-2017
B25127_43_50_or_more,0,2013-2017
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,2013-2017
B25127_45_renter_occupied,5388,2013-2017
B25127_46_built_2010_or_later,88,2013-2017
"B25127_47_1,_detached__or_attached",29,2013-2017
B25127_48_2_to_4,0,2013-2017
B25127_49_5_to_19,13,2013-2017
"B25127_4_1,_detached__or_attached",611,2013-2017
B25127_50_20_to_49,0,2013-2017
B25127_51_50_or_more,0,2013-2017
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",46,2013-2017
B25127_53_built_2000_to_2009,924,2013-2017
"B25127_54_1,_detached__or_attached",693,2013-2017
B25127_55_2_to_4,20,2013-2017
B25127_56_5_to_19,133,2013-2017
B25127_57_20_to_49,0,2013-2017
B25127_58_50_or_more,0,2013-2017
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",78,2013-2017
B25127_5_2_to_4,0,2013-2017
B25127_60_built_1980_to_1999,1667,2013-2017
"B25127_61_1,_detached__or_attached",817,2013-2017
B25127_62_2_to_4,99,2013-2017
B25127_63_5_to_19,298,2013-2017
B25127_64_20_to_49,15,2013-2017
B25127_65_50_or_more,69,2013-2017
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",369,2013-2017
B25127_67_built_1960_to_1979,1401,2013-2017
"B25127_68_1,_detached__or_attached",673,2013-2017
B25127_69_2_to_4,86,2013-2017
B25127_6_5_to_19,0,2013-2017
B25127_70_5_to_19,336,2013-2017
B25127_71_20_to_49,47,2013-2017
B25127_72_50_or_more,48,2013-2017
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",211,2013-2017
B25127_74_built_1940_to_1959,327,2013-2017
"B25127_75_1,_detached__or_attached",238,2013-2017
B25127_76_2_to_4,59,2013-2017
B25127_77_5_to_19,30,2013-2017
B25127_78_20_to_49,0,2013-2017
B25127_79_50_or_more,0,2013-2017
B25127_7_20_to_49,0,2013-2017
"B25127_80_mobile_home,_boat,_rv,_van,_etc.",0,2013-2017
B25127_81_built_1939_or_earlier,981,2013-2017
"B25127_82_1,_detached__or_attached",593,2013-2017
B25127_83_2_to_4,172,2013-2017
B25127_84_5_to_19,202,2013-2017
B25127_85_20_to_49,14,2013-2017
B25127_86_50_or_more,0,2013-2017
"B25127_87_mobile_home,_boat,_rv,_van,_etc.",0,2013-2017
B25127_8_50_or_more,0,2013-2017
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",20,2013-2017
CHARITER,000,2013-2017
FILEID,ACSSF,2013-2017
FILETYPE,2017e5,2013-2017
GEO_ID,05000US54037,2013-2017
GEO_NAME,"Jefferson County, West Virginia",2013-2017
LOGRECNO,0000031,2013-2017
SEQUENCE,0003,2013-2017
STATE,wv,2013-2017
STATE_FIPS,54,2013-2017
SUMMARY_LEVEL,050,2013-2017
