estimate_year,index,MD_009,MD_017,MD_021,MD_031,MD_033,DC_001,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,B01001_3_under_5_years,2601,4866,7358,34240,30494,22117,7036,362,1769,38138,2030,14407,17621,115,4192,4550,1066,5878,779,430,1036,1744,698,1630
2013-2017,B01001_4_5_to_9_years,2470,5456,7728,34913,29124,16987,5966,564,1692,38827,2219,16657,18408,142,4325,5147,1292,3677,786,600,837,1656,686,1931
2013-2017,B01001_5_10_to_14_years,3975,5582,9282,34211,27428,12571,4674,353,1986,38293,2523,15521,17567,227,5288,5796,1240,2940,590,535,735,1416,545,1830
2013-2017,B01001_6_15_to_17_years,2235,3762,5500,20934,16736,7810,2570,370,1044,23338,1579,8646,10414,186,3123,3560,787,1707,406,302,267,839,465,1148
2013-2017,B01001_7_18_and_19_years,1250,2099,3375,11737,14186,9814,1386,158,716,14035,776,4245,5694,41,1713,2024,520,947,197,207,504,444,231,837
2013-2017,B01001_8_20_years,467,999,1464,5800,6951,5474,611,79,288,5809,318,1504,3414,73,1027,840,329,542,132,30,249,309,26,344
2013-2017,B01001_9_21_years,696,1016,1533,5112,7446,5859,721,43,286,5604,285,1460,2770,0,624,877,221,470,180,35,338,287,232,404
2013-2017,B01001_10_22_to_24_years,1676,3266,4709,19558,19574,14120,6102,304,783,22793,1341,6290,8515,129,2407,3932,735,2271,542,173,779,931,251,877
2013-2017,B01001_11_25_to_29_years,2544,4913,7396,32142,35102,37358,15443,377,1408,38021,1771,9446,14852,201,3959,4832,1186,7272,960,370,1577,1641,641,1460
2013-2017,B01001_12_30_to_34_years,2365,4685,7741,35034,32558,35738,14335,314,1478,41637,1857,13030,16813,172,3989,4757,1280,9425,900,459,830,1756,707,1624
2013-2017,B01001_13_35_to_39_years,2517,4643,7484,36087,30583,26223,10442,333,1500,41659,1984,15278,17013,107,3743,5002,1198,7858,767,513,1081,1542,714,1788
2013-2017,B01001_14_40_to_44_years,2570,5070,8287,33436,29346,21301,8923,409,1887,40436,2164,16981,17379,257,4591,4648,1046,6481,773,563,761,1571,685,1813
2013-2017,B01001_15_45_to_49_years,3659,5886,9314,35531,30236,19162,7935,516,1862,41458,2510,15882,16934,215,4713,5440,1513,5341,880,446,663,1485,704,2070
2013-2017,B01001_16_50_to_54_years,4138,6188,9929,36170,30647,19334,7085,607,1943,41977,2851,14288,16299,276,4957,5659,1623,5013,812,537,736,1255,581,2214
2013-2017,B01001_17_55_to_59_years,3376,5101,8570,34492,27132,17698,6147,706,1516,37807,2437,10171,13592,253,4606,4744,1373,4209,908,472,708,1324,442,1851
2013-2017,B01001_18_60_and_61_years,1343,1758,2914,12044,10261,6153,1837,198,581,13630,912,3427,4225,124,1483,1252,551,1476,294,178,334,319,143,781
2013-2017,B01001_19_62_to_64_years,1586,2300,4216,17029,13584,8789,3072,202,962,18468,1446,4522,5601,265,1832,1908,837,2060,312,260,221,586,130,1095
2013-2017,B01001_20_65_and_66_years,970,1215,2342,10275,8350,4578,1677,161,462,11189,780,2579,3563,123,1219,981,408,1504,177,157,246,342,68,532
2013-2017,B01001_21_67_to_69_years,1104,1586,3222,12167,9886,6357,2260,312,605,14305,1088,2647,4107,150,1532,1370,577,1375,349,100,232,289,200,932
2013-2017,B01001_22_70_to_74_years,1642,2318,3660,15437,11000,8953,2629,314,1049,15617,1256,3628,4586,264,2070,1686,704,1812,299,177,293,480,198,1027
2013-2017,B01001_23_75_to_79_years,870,1237,2517,10609,7477,5425,1511,218,717,10202,911,2263,2704,176,1164,950,434,938,258,104,206,232,69,760
2013-2017,B01001_24_80_to_84_years,521,804,1353,7250,4470,3617,998,192,290,6519,514,1602,1560,99,848,506,289,718,187,89,163,128,30,324
2013-2017,B01001_25_85_years_and_over,609,618,1411,7363,3307,3608,1043,103,233,5831,306,1101,1212,51,540,523,236,587,133,64,94,99,36,216
2013-2017,B01001_26_female,45640,80653,124800,537627,469283,353345,115131,7136,24738,576411,34548,188983,225920,3713,66214,70175,19546,80209,11959,7042,15245,20704,7635,28185
2013-2017,B01001_27_under_5_years,2273,4667,7103,32716,29340,21490,6654,349,1482,36239,1946,13793,16614,249,3957,4431,1180,5429,883,448,913,1716,360,1489
2013-2017,B01001_28_5_to_9_years,2490,4725,7234,32755,28350,16379,5506,276,1881,38547,1981,15382,18255,177,4545,4944,1389,3703,542,442,750,1534,767,1760
2013-2017,B01001_29_10_to_14_years,3564,5773,8838,33678,26249,12963,4782,465,1703,35449,2426,15904,16119,190,4800,5564,1116,2939,713,436,771,1393,484,1846
2013-2017,B01001_30_15_to_17_years,2131,3552,5274,20207,16079,7741,2514,265,1011,22177,1534,8453,9874,52,2927,3554,695,1665,434,249,541,777,263,1058
2013-2017,B01001_31_18_and_19_years,1115,1984,3175,10827,13513,11803,1581,212,583,12911,836,3928,5137,75,1595,1838,500,820,276,61,1147,636,272,793
2013-2017,B01001_32_20_years,555,1046,1333,4613,6099,6058,694,25,210,5808,395,1255,2642,85,828,660,308,630,181,90,699,319,23,501
2013-2017,B01001_33_21_years,420,588,1274,4912,6302,5872,516,120,188,6174,272,1719,2564,0,703,693,233,638,260,35,1021,166,106,339
2013-2017,B01001_34_22_to_24_years,1637,3322,4704,19531,20061,17490,6351,143,928,20683,1175,5928,8550,88,2443,3194,579,2790,400,299,814,773,179,786
2013-2017,B01001_35_25_to_29_years,2221,4922,7236,33095,34098,44267,16275,269,1350,36367,1768,9814,14645,178,4014,4266,1157,8695,650,387,1138,1599,647,1573
2013-2017,B01001_36_30_to_34_years,2493,5160,7925,36875,33256,39027,13791,350,1537,41494,1769,14689,17124,171,4160,4623,1236,9960,753,495,918,1616,625,1704
2013-2017,B01001_37_35_to_39_years,2530,5109,7695,37746,32289,27087,10366,401,1631,42566,2172,16970,17971,242,4278,5127,971,7813,853,393,1063,1602,737,1938
2013-2017,B01001_38_40_to_44_years,3278,6116,8562,36787,30754,20993,8328,454,1499,42009,2119,16143,17123,113,4413,4695,1304,6368,755,467,788,1278,670,1783
2013-2017,B01001_39_45_to_49_years,3747,6841,9640,39250,33932,18948,7293,564,1666,43331,2630,15750,17091,240,5068,5708,1399,5476,850,590,701,1368,689,2166
2013-2017,B01001_40_50_to_54_years,4214,6866,10122,40004,35377,19136,6537,596,1854,43624,2966,13701,16278,290,5167,5745,1639,5107,868,610,825,1485,488,2223
2013-2017,B01001_41_55_to_59_years,3464,5754,9439,37344,32482,18545,6269,681,1917,39696,2505,10514,12752,348,4716,4538,1386,4830,863,509,832,1162,377,1977
2013-2017,B01001_42_60_and_61_years,1091,1946,2872,14153,12076,7685,2146,241,401,14501,1058,3538,4834,115,1539,1665,529,1453,237,264,136,551,140,772
2013-2017,B01001_43_62_to_64_years,1751,2307,4009,19523,16986,10630,3093,202,982,19521,1413,4150,6643,170,1947,1689,803,2588,469,233,462,653,209,1122
2013-2017,B01001_44_65_and_66_years,1030,1548,2609,11383,9983,6187,2018,238,504,11873,804,2635,3492,152,1639,1048,496,1313,277,236,210,388,113,725
2013-2017,B01001_45_67_to_69_years,1302,2115,3337,14589,12887,8810,2260,340,873,14961,1088,3297,4337,161,1769,1744,581,1919,412,138,324,432,59,786
2013-2017,B01001_46_70_to_74_years,1483,2335,4209,18936,15399,10697,3060,293,936,18193,1412,4431,6018,255,2127,1794,726,2332,333,207,418,445,189,1170
2013-2017,B01001_47_75_to_79_years,1081,1811,3062,14033,9682,8393,1765,176,518,11967,912,2884,3514,176,1299,1151,573,1413,389,215,276,204,163,764
2013-2017,B01001_48_80_to_84_years,849,1095,2117,10470,7161,5623,1489,212,507,8424,658,2260,2078,90,1102,759,350,1052,239,109,295,325,37,484
2013-2017,B01001_49_85_years_and_over,921,1071,3031,14200,6928,7521,1843,264,577,9896,709,1845,2265,96,1178,745,396,1276,322,129,203,282,38,426
2013-2017,B02001_1_total,90824,156021,246105,1039198,905161,672391,229534,14331,49795,1142004,68406,374558,450763,7359,130159,141159,38991,154710,23580,13843,28135,41379,16117,55673
2013-2017,B02001_2_white_alone,73885,72951,199955,563929,170009,273471,164102,12800,38337,713926,59448,250975,265523,6721,94968,97462,35339,96411,16104,10938,18127,28105,10413,48726
2013-2017,B02001_3_black_or_african_american_alone,10797,67351,22103,187943,572465,321062,20278,703,7150,110385,5139,28333,94217,280,20643,23940,1435,34123,1145,667,6326,5518,2202,3669
2013-2017,B02001_4_american_indian_and_alaska_native_alone,150,894,618,3091,3266,1757,1013,51,227,2462,196,977,1623,12,567,382,101,322,40,0,37,303,46,108
2013-2017,B02001_5_asian_alone,1504,4916,11186,153504,38811,25558,23576,149,697,215438,939,64423,36563,88,3408,4436,464,9603,3782,1282,669,2176,1689,830
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,34,163,174,477,333,289,194,0,5,719,14,330,569,0,119,112,0,54,13,0,34,76,5,0
2013-2017,B02001_7_some_other_race_alone,541,1151,3917,88027,96031,30961,13029,208,1379,49151,607,11230,28622,28,5788,7329,212,6884,1190,285,1151,3297,1141,940
2013-2017,B02001_8_two_or_more_races,3913,8595,8152,42227,24246,19293,7342,420,2000,49923,2063,18290,23646,230,4666,7498,1440,7313,1306,671,1791,1904,621,1400
2013-2017,B02001_9_two_races_including_some_other_race,170,449,1188,7219,3815,2665,1045,87,157,5757,260,2989,3099,78,812,835,69,1532,397,86,248,309,106,212
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",3743,8146,6964,35008,20431,16628,6297,333,1843,44166,1803,15301,20547,152,3854,6663,1371,5781,909,585,1543,1595,515,1188
2013-2017,B11001_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B11001_2_family_households,23759,40303,65073,257855,202472,121411,47715,3743,12540,281196,17777,94277,107839,2154,33291,36991,10025,33164,5680,3459,5701,9507,3495,14643
2013-2017,B11001_3_married-couple_family,18450,29091,51731,199813,121209,70359,38858,2938,9828,229244,14838,79861,84629,1785,26387,29838,7199,24895,4506,2710,3685,7460,2803,11381
2013-2017,B11001_4_other_family,5309,11212,13342,58042,81263,51052,8857,805,2712,51952,2939,14416,23210,369,6904,7153,2826,8269,1174,749,2016,2047,692,3262
2013-2017,"B11001_5_male_householder,_no_wife_present",1712,2429,4329,16178,20763,10092,2982,181,924,15776,931,4193,7143,143,1903,2001,797,2544,317,155,295,542,246,949
2013-2017,"B11001_6_female_householder,_no_husband_present",3597,8783,9013,41864,60500,40960,5875,624,1788,36176,2008,10223,16067,226,5001,5152,2029,5725,857,594,1721,1505,446,2313
2013-2017,B11001_7_nonfamily_households,7703,14685,24949,111387,104222,156574,54595,1825,4297,112184,6204,27022,31467,977,9988,8354,4165,35499,2819,1849,4718,3033,1283,6165
2013-2017,B11001_8_householder_living_alone,5861,12467,19564,92107,86830,121126,40110,1550,3431,87948,5053,20966,25703,875,8155,6523,3415,28751,1871,1600,3781,2430,977,4771
2013-2017,B11001_9_householder_not_living_alone,1842,2218,5385,19280,17392,35448,14485,275,866,24236,1151,6056,5764,102,1833,1831,750,6748,948,249,937,603,306,1394
2013-2017,B15002_1_total,61269,103318,166221,713454,607229,477843,171870,10243,33245,777179,46770,239466,286605,5530,85662,89555,26801,117664,16279,9471,16734,26439,10529,38100
2013-2017,B15002_2_male,29814,48322,80356,335066,283939,224294,85337,4962,16493,378756,22787,116845,140440,2733,41246,44258,13255,56069,8009,4489,8145,13049,5348,18487
2013-2017,B15002_3_no_schooling_completed,155,419,854,5410,5225,2498,1148,38,164,5769,180,1618,2464,9,330,199,122,459,48,8,38,426,105,143
2013-2017,B15002_4_nursery_to_4th_grade,71,163,183,3590,5533,1637,272,4,71,3264,111,505,1101,0,68,114,52,796,92,0,235,182,68,79
2013-2017,B15002_5_5th_and_6th_grade,77,181,371,4989,9048,2142,1212,30,475,4606,98,1089,2481,92,391,225,148,1001,97,0,58,629,146,103
2013-2017,B15002_6_7th_and_8th_grade,344,465,771,3415,4983,3109,607,173,417,3395,382,965,1758,156,781,395,282,366,14,0,44,477,113,541
2013-2017,B15002_7_9th_grade,308,384,775,3297,6478,2825,311,104,501,3999,182,537,2517,101,568,375,214,419,38,26,26,233,206,344
2013-2017,B15002_8_10th_grade,367,762,1067,2409,4473,3283,262,140,463,2336,375,994,1616,51,1010,390,303,422,92,43,100,246,57,422
2013-2017,B15002_9_11th_grade,408,1054,1020,2504,4684,4184,459,104,498,2122,363,605,1593,30,770,530,568,330,100,0,55,215,253,481
2013-2017,"B15002_10_12th_grade,_no_diploma",334,815,1331,4618,6265,2926,995,155,181,4711,393,1261,2785,13,716,628,330,801,73,0,135,182,109,255
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),9938,16516,20391,43941,78726,38774,6645,1428,5647,44803,6611,14922,28604,710,12665,10039,5156,6680,1110,305,1821,3478,1419,5704
2013-2017,"B15002_12_some_college,_less_than_1_year",2639,3179,5090,11847,16280,6716,1584,342,1205,12733,1573,4282,7994,95,2587,2898,1001,1648,318,79,357,556,200,1266
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",4919,7965,10777,33287,44618,20688,5650,500,2211,35250,3051,11926,20824,341,5670,7167,1698,6255,987,291,1162,1614,607,2416
2013-2017,B15002_14_associate's_degree,1821,3452,5574,15617,14813,6050,2802,472,1020,17159,1379,5551,9149,156,2578,3126,815,2275,290,76,302,981,492,999
2013-2017,B15002_15_bachelor's_degree,4797,7800,18813,86734,48492,55412,29384,705,2230,114109,4759,41241,32814,558,8031,10090,1685,16505,2365,1642,2349,2318,1058,3453
2013-2017,B15002_16_master's_degree,2661,4084,9077,61601,25086,42321,21364,420,897,87935,2547,25225,20346,236,4124,6862,635,11141,1691,1264,951,1058,378,1638
2013-2017,B15002_17_professional_school_degree,503,602,1764,26091,4339,20707,8149,198,317,20360,491,3050,2381,88,566,601,177,4672,391,446,260,283,103,292
2013-2017,B15002_18_doctorate_degree,472,481,2498,25716,4896,11022,4493,149,196,16205,292,3074,2013,97,391,619,69,2299,303,309,252,171,34,351
2013-2017,B15002_19_female,31455,54996,85865,378388,323290,253549,86533,5281,16752,398423,23983,122621,146165,2797,44416,45297,13546,61595,8270,4982,8589,13390,5181,19613
2013-2017,B15002_20_no_schooling_completed,205,431,996,6706,4998,2643,1408,75,206,6646,203,1592,3080,8,286,257,73,1095,143,0,128,439,62,65
2013-2017,B15002_21_nursery_to_4th_grade,18,70,192,3377,3846,1491,464,0,39,2490,66,599,1451,0,170,151,10,528,114,13,18,172,72,80
2013-2017,B15002_22_5th_and_6th_grade,21,236,543,5684,6221,2289,882,66,245,5296,131,1200,2294,0,286,133,40,1107,54,0,9,428,139,74
2013-2017,B15002_23_7th_and_8th_grade,205,381,803,3763,3990,3080,505,167,376,3799,436,1017,1448,38,616,368,271,550,91,0,32,288,72,277
2013-2017,B15002_24_9th_grade,230,154,785,3218,4752,3004,372,99,300,3780,170,633,1484,33,358,313,368,737,65,25,67,301,53,268
2013-2017,B15002_25_10th_grade,293,671,938,2484,3489,3731,329,127,409,2139,410,964,1821,39,585,414,383,275,123,20,85,208,29,485
2013-2017,B15002_26_11th_grade,531,539,900,2776,4732,4847,477,49,495,2080,316,687,1350,47,963,666,340,481,31,0,299,206,239,427
2013-2017,"B15002_27_12th_grade,_no_diploma",245,810,807,5484,5544,2808,756,14,196,5438,200,1405,2828,13,738,476,219,703,94,36,132,315,145,228
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),8895,16513,20434,54073,78247,45345,7074,1476,4885,55156,6184,15901,31164,789,13441,9981,4526,7334,1170,388,2011,3130,1186,6539
2013-2017,"B15002_29_some_college,_less_than_1_year",2753,4203,6221,15014,21570,10008,1687,245,1347,15458,1996,5330,9149,193,3733,2989,1334,2294,330,163,681,950,222,1619
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",5241,9490,10446,38217,54018,24791,5450,728,2858,38822,3166,13849,20483,547,6399,8249,1785,5401,982,269,1169,1678,849,2341
2013-2017,B15002_31_associate's_degree,2821,5021,7710,21546,21220,8551,3106,481,1242,24501,2282,8828,13043,209,3869,4841,1171,2951,566,329,586,1247,381,1309
2013-2017,B15002_32_bachelor's_degree,5767,9740,20333,103991,62425,58418,30260,884,2639,126612,5453,43468,35413,526,8249,10320,2060,17898,2432,1729,1704,2365,1226,3708
2013-2017,B15002_33_master's_degree,3584,5656,11601,75526,39028,54077,24086,752,1292,82018,2346,22664,18063,285,4050,5357,844,14226,1658,1265,1324,1416,385,1800
2013-2017,B15002_34_professional_school_degree,446,665,1618,18893,4776,19155,6264,38,176,15333,407,2499,1796,38,383,507,81,3906,211,505,207,178,61,235
2013-2017,B15002_35_doctorate_degree,200,416,1538,17636,4434,9311,3413,80,47,8855,217,1985,1298,32,290,275,41,2109,206,240,137,69,60,158
2013-2017,B19001_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,"B19001_2_less_than_$10,000",876,2136,3042,13265,11903,26654,4289,343,623,11309,644,2195,3156,154,1421,852,556,2526,337,87,849,508,19,1192
2013-2017,"B19001_3_$10,000_to_$14,999",593,1108,1904,6737,6719,12425,1618,232,588,5682,440,1268,2090,182,777,576,638,1230,48,77,450,141,123,525
2013-2017,"B19001_4_$15,000_to_$19,999",503,1314,2008,6542,7975,10097,1702,144,666,5147,663,1573,2164,133,1053,918,417,1275,178,152,369,298,149,722
2013-2017,"B19001_5_$20,000_to_$24,999",488,1332,2642,8164,9068,9249,2358,100,676,6178,635,1573,3207,119,1141,861,585,1983,240,124,374,347,188,951
2013-2017,"B19001_6_$25,000_to_$29,999",607,1262,2659,9082,9293,9321,2052,319,548,7509,698,1618,3123,108,1461,877,605,1496,263,101,508,414,194,634
2013-2017,"B19001_7_$30,000_to_$34,999",875,1870,2734,9345,10596,8572,1936,171,634,7828,601,1843,3261,172,1359,1030,639,1740,229,56,634,412,122,738
2013-2017,"B19001_8_$35,000_to_$39,999",765,1476,2649,10010,10636,7292,1946,135,817,7775,885,2031,3778,135,1394,1249,744,2076,237,57,345,553,229,754
2013-2017,"B19001_9_$40,000_to_$44,999",947,1369,3024,9704,11777,8298,1664,233,653,8044,599,2488,4069,110,1521,1201,506,2357,210,85,473,454,86,764
2013-2017,"B19001_10_$45,000_to_$49,999",709,1389,2586,9903,10867,7325,1959,210,563,7465,710,2542,3570,113,1650,1359,630,2283,115,146,570,542,140,600
2013-2017,"B19001_11_$50,000_to_$59,999",1710,3177,6307,21226,23970,15136,5099,451,1274,19231,1257,5720,7995,323,3071,3100,1220,3843,399,286,894,1069,361,1884
2013-2017,"B19001_12_$60,000_to_$74,999",3065,4917,8881,29965,33553,21259,7404,518,2115,29100,2251,7742,12843,276,4951,4080,1600,6475,701,394,778,1262,569,1930
2013-2017,"B19001_13_$75,000_to_$99,999",4550,8052,12187,44503,44728,29781,12936,684,2728,47567,3042,12420,19643,323,6563,5817,1857,9183,1004,706,1402,2147,717,2734
2013-2017,"B19001_14_$100,000_to_$124,999",3494,6896,11074,41684,36242,26091,11784,518,1599,46715,2882,14967,17508,293,5247,5809,1546,7911,993,636,750,1280,704,2664
2013-2017,"B19001_15_$125,000_to_$149,999",3762,5789,8437,30520,25036,18308,9599,486,1274,37585,2326,12908,14044,158,3513,4464,1012,5900,825,265,483,1102,453,1762
2013-2017,"B19001_16_$150,000_to_$199,999",4773,6939,10454,45309,29275,25494,13644,499,1126,56714,3016,20305,18624,220,4391,6393,1083,7310,1168,758,820,1164,459,1538
2013-2017,"B19001_17_$200,000_or_more",3745,5962,9434,73283,25056,42683,22320,525,953,89531,3332,30106,20231,312,3766,6759,552,11075,1552,1378,720,847,265,1416
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),100350,93973,88502,103178,78607,77649,112138,72129,69693,117515,94775,129588,101059,62541,81434,103005,65353,93370,106870,114795,57258,77551,79131,72526
2013-2017,B25001_1_total,34785,58883,94688,386587,330326,308161,111646,6286,18307,411223,26413,126162,145961,3945,46594,47345,16188,75489,8843,5805,11545,13451,4895,22813
2013-2017,B25003_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B25003_2_owner_occupied,26241,42505,67295,242295,189513,115795,45525,4176,12272,266707,18803,94437,100948,2354,33482,34377,10887,29576,5949,3178,3746,7979,3224,15420
2013-2017,B25003_3_renter_occupied,5221,12483,22727,126947,117181,162190,56785,1392,4565,126673,5178,26862,38358,777,9797,10968,3303,39087,2550,2130,6673,4561,1554,5388
2013-2017,B25024_1_total,34785,58883,94688,386587,330326,308161,111646,6286,18307,411223,26413,126162,145961,3945,46594,47345,16188,75489,8843,5805,11545,13451,4895,22813
2013-2017,"B25024_2_1,_detached",30312,41527,59314,183970,170096,36781,29412,5459,14392,194073,22310,67342,81346,3771,36710,35476,13738,10545,4779,2423,4650,5629,2724,17077
2013-2017,"B25024_3_1,_attached",2421,11147,19055,71925,52866,77305,11211,111,1366,96119,1949,36716,37662,39,3690,6436,689,15744,1859,695,1361,3742,1052,1803
2013-2017,B25024_4_2,129,114,1043,1891,1460,9726,1034,115,240,1890,341,499,957,49,134,135,209,895,9,0,277,138,29,438
2013-2017,B25024_5_3_or_4,88,856,1477,5079,5137,22081,4164,168,265,5017,282,1233,1397,0,319,293,467,2276,95,126,428,446,51,310
2013-2017,B25024_6_5_to_9,145,818,2821,20136,23275,20881,6351,65,587,20101,118,4452,3948,45,386,1227,301,6784,278,104,1132,815,66,571
2013-2017,B25024_7_10_to_19,487,858,6644,36347,46982,32236,8746,40,665,42035,691,8841,13158,3,1366,1851,449,9753,1381,356,2346,1869,313,600
2013-2017,B25024_8_20_to_49,264,1426,1424,10569,6498,24403,5345,48,141,11492,110,2146,2284,0,853,196,19,4036,112,204,788,269,300,76
2013-2017,B25024_9_50_or_more,660,1398,2135,55914,22221,84574,45175,258,104,38154,231,4198,3440,0,849,425,61,25403,330,1878,563,417,348,117
2013-2017,B25024_10_mobile_home,279,718,733,653,1709,126,166,22,504,2263,381,623,1752,38,2268,1306,255,37,0,19,0,126,12,1808
2013-2017,"B25024_11_boat,_rv,_van,_etc.",0,21,42,103,82,48,42,0,43,79,0,112,17,0,19,0,0,16,0,0,0,0,0,13
2013-2017,B25077_1_median_value_(dollars),347200,294000,315400,467500,272900,537400,643300,333100,266400,534800,370000,475500,358300,358600,265600,327600,231000,537900,501900,742000,341200,307000,263300,227300
2013-2017,B25034_1_total,34785,58883,94688,386587,330326,308161,111646,6286,18307,411223,26413,126162,145961,3945,46594,47345,16188,75489,8843,5805,11545,13451,4895,22813
2013-2017,B25034_2_built_2014_or_later,258,795,1056,4123,2316,4280,1305,34,161,2726,182,3779,2243,0,867,610,109,1167,61,209,79,22,29,184
2013-2017,B25034_3_built_2010_to_2013,1026,2688,2596,8946,6494,9373,4544,86,437,7721,525,10480,5985,77,1261,2692,218,1503,92,188,847,403,111,541
2013-2017,B25034_4_built_2000_to_2009,6819,12605,17074,41657,35390,26812,17051,1127,4677,47089,5296,44217,41113,490,13258,12383,2644,8140,929,742,1921,1153,1281,5882
2013-2017,B25034_5_built_1990_to_1999,9246,12437,20754,48106,47201,9157,10529,793,3107,64783,4271,32550,27253,621,12694,12962,2570,8346,901,291,1174,2371,1318,3899
2013-2017,B25034_6_built_1980_to_1989,7134,10166,16551,80870,46137,13834,12244,702,3043,96419,5448,14182,28749,458,9859,8239,2444,7049,668,439,1109,4521,312,3180
2013-2017,B25034_7_built_1970_to_1979,5138,9715,13157,62837,51639,23965,11039,1093,2211,85969,3792,8785,21998,472,5179,5610,2579,13165,1114,662,2185,2576,345,3320
2013-2017,B25034_8_built_1960_to_1969,1578,5173,5711,55570,64121,35706,12717,472,1793,56440,1604,4540,11219,374,1383,2093,1377,13317,2289,880,1192,1290,272,1607
2013-2017,B25034_9_built_1950_to_1959,1457,2413,4338,46635,45743,39538,16275,423,879,37676,1585,3071,4274,151,908,1455,1438,8451,2281,1119,770,377,1121,931
2013-2017,B25034_10_built_1940_to_1949,909,1363,2091,19280,16759,36707,15806,125,681,8351,699,925,1557,230,299,595,1067,7937,358,863,500,329,94,496
2013-2017,B25034_11_built_1939_or_earlier,1220,1528,11360,18563,14526,108789,10136,1431,1318,4049,3011,3633,1570,1072,886,706,1742,6414,150,412,1768,409,12,2773
