,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454204,,,384515,,337345,62901,412127,305192,244480,283959,248308,,162775,71475,271607,685636,146993,1247773,661718,782142,189437,49485,1134031,230325,159227,737373,471874,,,,,,27956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_2_male
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25343,,,26937,,24222,2546,25146,16117,12856,20836,17773,,9077,3566,17906,55036,7105,100551,38033,41875,12726,2211,75316,14037,12468,41156,28704,,,,,,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_3_under_5_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28294,,,26862,,18510,3239,25486,19010,15033,18998,17421,,10043,4026,18583,51974,7538,83757,42096,31298,13730,2747,65302,15631,13910,44925,31244,,,,,,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_4_5_to_9_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30323,,,27536,,17718,4345,26685,21272,17308,20224,17027,,12425,4731,18965,49368,9160,79837,43883,30563,14736,3343,63576,14776,11757,50130,32771,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_5_10_to_14_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19185,,,15964,,10438,3174,16527,13691,10992,11288,10577,,7547,3274,11370,30682,6107,46594,28967,17132,9037,2160,38647,9629,7794,32231,21175,,,,,,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_6_15_to_17_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11215,,,10385,,7156,1939,12683,8067,6553,6144,7202,,4148,1780,7004,21254,5212,27657,17966,15742,6367,1273,24172,5599,4477,20719,12975,,,,,,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_7_18_and_19_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867,,,5825,,4353,751,7107,3301,2696,3269,3266,,1921,842,3983,13280,2802,16413,9169,7946,3841,534,15901,3009,2200,10136,5921,,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_8_20_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5684,,,5773,,4563,939,6807,3673,2771,3241,3645,,1429,939,3915,11991,2635,16511,9090,8908,3082,420,14463,3521,2337,9698,6250,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_9_21_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17140,,,15839,,14775,3095,14769,12445,9456,9995,11470,,6398,2748,10175,34899,6029,55515,26208,37839,9525,2275,45585,9133,6588,30895,18072,,,,,,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_10_22_to_24_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26090,,,26838,,35824,2830,29251,17246,13217,16666,17569,,8627,3955,18054,59237,9260,120225,40568,92372,10920,2766,97522,16638,9902,46294,27546,,,,,,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_11_25_to_29_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28369,,,26247,,37184,2640,29266,16277,14100,15715,16582,,9514,3609,18197,50487,8387,111307,38088,85803,10814,2686,93338,14955,9307,42327,28504,,,,,,1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_12_30_to_34_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30211,,,26547,,30247,3196,29420,16651,14238,14954,17167,,10233,3964,19477,43007,8594,93161,39156,64878,10773,2802,84348,13531,8670,44345,29997,,,,,,1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_13_35_to_39_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30852,,,28049,,25106,3300,29381,19424,16331,15335,15149,,11370,4323,18782,41995,8856,81014,41133,54210,11882,3106,78840,15941,9133,47133,31519,,,,,,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_14_40_to_44_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33805,,,27981,,21684,4850,29226,22929,19425,17260,17007,,12914,5597,19728,43882,10910,74419,46958,53093,13403,4116,79193,16103,10003,56082,34781,,,,,,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_15_45_to_49_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35759,,,27651,,20844,5845,29601,25998,21023,19023,17406,,13964,6455,20323,43194,12197,73430,51149,50614,13988,4435,80021,16984,10820,60782,35768,,,,,,2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_16_50_to_54_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32783,,,24337,,17533,5749,27210,25454,18535,19129,16235,,13122,6048,19181,36854,11330,68722,48705,45150,12562,3969,74665,15872,10757,53545,32712,,,,,,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_17_55_to_59_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12185,,,8951,,6900,1998,10746,8418,6924,6811,5422,,3902,2176,6135,14304,4531,25726,18909,17895,4545,1480,28233,5753,3460,20172,11284,,,,,,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_18_60_and_61_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16219,,,10994,,9038,2833,13064,11625,8627,10122,8186,,5701,3265,8061,17679,5392,36222,23655,24121,5969,2074,35500,8647,4677,25254,16944,,,,,,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_19_62_to_64_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9921,,,6686,,4865,1509,7713,6771,5375,6636,4127,,3343,1768,5214,9877,3740,22062,14996,15145,3239,1289,21233,5382,3044,15098,9278,,,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_20_65_and_66_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12219,,,8330,,6232,2011,10305,9171,6956,9549,6258,,3696,2267,6315,13063,3960,27219,19128,18268,4833,1549,26987,6141,4085,19868,12943,,,,,,1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_21_67_to_69_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15827,,,10447,,7787,2710,11896,10980,8066,14143,7193,,5215,2762,7533,17088,4772,31973,22644,25657,5519,1805,34316,7597,5045,26063,15372,,,,,,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_22_70_to_74_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11234,,,7260,,5705,1522,8691,7187,5743,9946,5209,,3299,1760,4531,12551,3591,23598,15515,17595,3557,1253,25248,5205,4018,17592,11244,,,,,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_23_75_to_79_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8197,,,4148,,3509,1070,5461,4608,4189,7676,3127,,2549,935,4496,7646,2572,16314,12523,12983,2275,723,16564,3543,2578,12453,8416,,,,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_24_80_to_84_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8482,,,4928,,3152,810,5686,4877,4066,6999,3290,,2338,685,3679,6288,2313,15546,13179,13055,2114,469,15061,2698,2197,10475,8454,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_25_85_years_and_over
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483716,,,415886,,342411,62816,425161,322359,254367,305740,262255,,170541,72095,285713,770210,148692,1387348,701351,871735,188737,49979,1205249,245623,165800,760222,503447,,,,,,27731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_26_female
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24317,,,25867,,23219,2446,23998,15588,12093,19755,17069,,8576,3039,17372,53164,6753,95581,36282,40222,12101,2229,71116,13460,12250,39799,26889,,,,,,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_27_under_5_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27602,,,25521,,18917,2957,25023,19357,14291,18919,15625,,10087,4248,17863,49488,7157,81432,40283,32058,13344,2801,62025,13353,12188,43366,28687,,,,,,1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_28_5_to_9_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28655,,,26755,,16073,4367,25414,19545,16531,18383,17546,,11150,4282,18398,48037,8927,75556,41360,28971,13392,3142,60779,15402,12216,47009,31881,,,,,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_29_10_to_14_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18297,,,15718,,9782,2790,15297,13271,10450,10755,10134,,7239,3028,10987,29412,5738,45507,27600,17532,8477,2122,36934,9034,7415,30798,19523,,,,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_30_15_to_17_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10627,,,9852,,6290,1372,11609,7443,6214,5490,7166,,3722,1644,6479,19889,5322,27088,16942,20108,5034,1076,22833,5309,4174,18358,13231,,,,,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_31_18_and_19_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,,,5592,,3407,388,7060,3630,2810,3432,3776,,1281,1016,3222,12152,2951,16342,7881,10759,2283,621,14358,3297,2406,9609,6153,,,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_32_20_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331,,,4880,,4174,582,6378,3397,2736,3079,3674,,2031,818,3334,12650,2825,16882,8094,10691,2782,488,13547,3142,1756,9956,5719,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_33_21_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16550,,,16579,,14314,2242,14382,11575,8713,9804,11147,,5835,2425,10724,35196,5256,60543,26711,43096,7270,1649,49150,9110,6444,28669,18024,,,,,,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_34_22_to_24_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25521,,,27483,,34713,2390,28778,16136,12353,15832,17223,,8385,3310,17141,62352,8072,129321,38863,106732,10329,2364,98720,16231,9139,42799,26981,,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_35_25_to_29_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29165,,,28229,,35057,2656,29176,16439,13930,15407,16792,,9759,3502,18534,56267,7798,118410,38304,89436,10812,2559,93178,15088,9051,40919,28624,,,,,,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_36_30_to_34_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32054,,,28278,,27794,3378,29573,17500,14375,15281,16813,,11267,4009,19482,52487,8412,99631,40053,65847,11292,2960,85394,14513,9059,42970,31174,,,,,,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_37_35_to_39_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32156,,,30019,,23575,3778,28145,20702,17671,15408,16656,,11661,4525,19608,47320,8578,90233,43942,53867,12061,3109,80104,17097,9325,49463,33332,,,,,,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_38_40_to_44_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36469,,,29968,,21818,5525,29516,24705,20442,18040,17824,,13720,5968,20857,51084,10953,85140,50692,52326,13834,4257,82073,17431,10628,58211,37211,,,,,,2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_39_45_to_49_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37831,,,29208,,21381,6292,30578,27789,21613,20149,18321,,14729,6682,21428,51467,12247,85770,55173,51079,14513,4594,84975,18393,11431,62495,38507,,,,,,2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_40_50_to_54_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36933,,,26949,,19111,5837,29169,26297,19571,20567,17022,,13444,6523,19999,44731,11603,81831,51680,49447,12917,3967,82586,17788,11043,56672,37003,,,,,,2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_41_55_to_59_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12701,,,10314,,8233,2101,10925,8883,7063,7976,6297,,4391,2290,7178,16986,3970,32474,20916,21579,4588,1535,31495,6716,3857,20793,12582,,,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_42_60_and_61_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17040,,,13679,,9819,2565,14191,12568,8864,12155,8945,,5749,2796,8913,22764,5656,44578,26002,27970,6233,2080,40553,9131,5297,25988,17373,,,,,,1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_43_62_to_64_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10708,,,8253,,6308,1301,9355,6979,5598,8687,5430,,3619,1738,5502,14309,3376,29100,16182,19743,3607,1262,26674,5202,3644,17921,11285,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_44_65_and_66_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14383,,,9602,,7600,2154,11148,10136,7661,11563,6892,,4013,2415,7477,16918,4415,35023,21547,24493,5103,1800,33423,7760,4939,22081,14270,,,,,,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_45_67_to_69_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19392,,,14653,,10346,2764,14407,13351,10186,17600,9183,,6662,3029,9833,24457,6410,42691,27788,36058,6515,1891,42873,9907,6131,31086,19564,,,,,,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_46_70_to_74_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14644,,,9993,,8207,2058,10670,8663,7523,13470,7228,,4541,1802,6942,19312,4414,34864,20584,25579,4185,1244,33719,6770,4623,23137,16153,,,,,,1046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_47_75_to_79_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12254,,,8238,,5713,1176,8656,7908,5700,10255,5008,,3943,1327,6214,13120,3492,27116,17865,19003,3384,1020,26001,5298,3676,17395,12235,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_48_80_to_84_years
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16266,,,10256,,6560,1697,11713,10497,7979,13733,6484,,4737,1679,8226,16648,4367,32235,26607,25139,4681,1209,32739,6191,5108,20728,17046,,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_49_85_years_and_over
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937920,,,800401,,679756,125717,837288,627551,498847,589699,510563,,333316,143570,557320,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,,,,,,55687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B02001_1_total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664406,,,336763,,376168,114342,497816,515213,406436,538498,319097,,225398,133544,315421,305539,232511,1138768,939072,932105,280296,88598,929296,356092,230354,1205198,637798,,,,,,49540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B02001_2_white_alone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56391,,,320278,,84114,3406,84015,45144,16065,17800,60323,,31335,2997,117852,489532,31036,869467,157339,246603,40236,2414,426668,49237,40643,117030,142677,,,,,,3382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B02001_3_black_or_african_american_alone
