estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2007-2011,B11005_5_other_family,31583,2932,7086,7361,31875,51000,4505,396,1551,27832,1896,7633,15435,243,5551,4233,1257,4593,473,364,1142,1421,548,1575
2007-2011,"B11005_6_male_householder,_no_wife_present",4892,758,1563,1929,6715,11364,895,121,477,7427,608,2074,4025,70,1530,1212,258,1054,101,91,233,477,194,429
2007-2011,"B11005_7_female_householder,_no_husband_present",26691,2174,5523,5432,25160,39636,3610,275,1074,20405,1288,5559,11410,173,4021,3021,999,3539,372,273,909,944,354,1146
2007-2011,B11005_8_nonfamily_households,263,91,242,172,411,1173,35,8,58,797,44,165,461,43,115,101,13,36,12,11,5,12,10,45
2007-2011,B11005_9_male_householder,108,91,179,158,308,637,23,8,58,668,30,102,303,43,102,50,13,5,12,11,5,0,10,45
2007-2011,B11005_10_female_householder,155,0,63,14,103,536,12,0,0,129,14,63,158,0,13,51,0,31,0,0,0,12,0,0
2007-2011,B11005_11_households_with_no_people_under_18_years,206689,17838,29495,52767,229309,191131,73722,3796,9543,243740,14744,52485,67591,2276,22457,21739,9334,51073,5900,3052,6669,6954,2384,13047
2007-2011,B11005_12_family_households,56330,10820,17437,29183,117134,89706,22882,2228,5660,130979,9039,28812,39613,1251,14043,14299,4903,16331,3015,1385,2221,3768,1312,7605
2007-2011,B11005_13_married-couple_family,35994,9081,13890,24791,95880,60524,18624,2003,4957,110949,7939,25014,32511,1171,12265,12585,4070,13383,2425,1221,1642,2909,1014,6393
2007-2011,B11005_14_other_family,20336,1739,3547,4392,21254,29182,4258,225,703,20030,1100,3798,7102,80,1778,1714,833,2948,590,164,579,859,298,1212
2007-2011,"B11005_15_male_householder,_no_wife_present",4855,577,991,1387,6967,8418,1914,81,161,7006,397,1211,2396,17,515,623,362,978,266,12,186,295,71,445
2007-2011,"B11005_16_female_householder,_no_husband_present",15481,1162,2556,3005,14287,20764,2344,144,542,13024,703,2587,4706,63,1263,1091,471,1970,324,152,393,564,227,767
2007-2011,B11005_17_nonfamily_households,150359,7018,12058,23584,112175,101425,50840,1568,3883,112761,5705,23673,27978,1025,8414,7440,4431,34742,2885,1667,4448,3186,1072,5442
2007-2011,B11005_18_male_householder,68922,3404,5280,10545,44658,44464,25376,652,1735,51364,2647,11466,13943,515,3649,3383,1995,15904,1273,793,1939,1396,416,2729
2007-2011,B11005_19_female_householder,81437,3614,6778,13039,67517,56961,25464,916,2148,61397,3058,12207,14035,510,4765,4057,2436,18838,1612,874,2509,1790,656,2713
