estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,B11005_4_married-couple_family,28923,8221,13807,23837,97031,55153,17677,1039,4506,114323,6496,48706,48191,522,12268,14938,2873,10933,2065,1330,1634,3638,1649,4933
2013-2017,B11005_5_other_family,30468,3199,7479,8013,33964,47213,5012,494,1872,29089,1839,8902,14844,205,4453,5042,1734,4666,520,407,1372,1372,504,2019
2013-2017,"B11005_6_male_householder,_no_wife_present",5027,1109,1623,2604,9032,11670,1471,109,648,7876,560,2370,4227,69,1053,1354,347,1059,159,50,119,302,146,632
2013-2017,"B11005_7_female_householder,_no_husband_present",25441,2090,5856,5409,24932,35543,3541,385,1224,21213,1279,6532,10617,136,3400,3688,1387,3607,361,357,1253,1070,358,1387
2013-2017,B11005_8_nonfamily_households,403,173,109,327,505,704,160,50,168,845,90,292,384,0,154,109,39,77,50,10,0,54,9,45
2013-2017,B11005_9_male_householder,187,153,64,194,350,451,79,24,106,513,59,176,340,0,111,54,33,69,10,10,0,32,0,32
2013-2017,B11005_10_female_householder,216,20,45,133,155,253,81,26,62,332,31,116,44,0,43,55,6,8,40,0,0,22,9,13
2013-2017,B11005_11_households_with_no_people_under_18_years,218191,19869,33593,57845,237742,203624,79461,3985,10291,249123,15556,63399,75887,2404,26404,25256,9544,52987,5864,3561,7413,7476,2616,13811
2013-2017,B11005_12_family_households,62020,12339,19017,33223,126860,100106,25026,2210,6162,137784,9442,36669,44804,1427,16570,17011,5418,17565,3095,1722,2695,4497,1342,7691
2013-2017,B11005_13_married-couple_family,41436,10229,15284,27894,102782,66056,21181,1899,5322,114921,8342,31155,36438,1263,14119,14900,4326,13962,2441,1380,2051,3822,1154,6448
2013-2017,B11005_14_other_family,20584,2110,3733,5329,24078,34050,3845,311,840,22863,1100,5514,8366,164,2451,2111,1092,3603,654,342,644,675,188,1243
2013-2017,"B11005_15_male_householder,_no_wife_present",5065,603,806,1725,7146,9093,1511,72,276,7900,371,1823,2916,74,850,647,450,1485,158,105,176,240,100,317
2013-2017,"B11005_16_female_householder,_no_husband_present",15519,1507,2927,3604,16932,24957,2334,239,564,14963,729,3691,5450,90,1601,1464,642,2118,496,237,468,435,88,926
2013-2017,B11005_17_nonfamily_households,156171,7530,14576,24622,110882,103518,54435,1775,4129,111339,6114,26730,31083,977,9834,8245,4126,35422,2769,1839,4718,2979,1274,6120
2013-2017,B11005_18_male_householder,70632,3621,6564,11078,43900,45000,26629,846,1689,50617,2606,12222,14688,427,4337,4169,2307,15197,1252,906,2273,1154,561,3002
2013-2017,B11005_19_female_householder,85539,3909,8012,13544,66982,58518,27806,929,2440,60722,3508,14508,16395,550,5497,4076,1819,20225,1517,933,2445,1825,713,3118
