estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2010-2014,B11005_5_other_family,30346,3393,7620,7452,33875,52319,4678,463,2141,29169,1695,9289,15630,135,4659,4562,1688,4637,547,397,1451,1508,605,2115
2010-2014,"B11005_6_male_householder,_no_wife_present",5080,849,1838,2203,8432,11889,1187,74,692,8056,459,2598,4657,93,1128,1053,410,1069,200,74,113,333,60,623
2010-2014,"B11005_7_female_householder,_no_husband_present",25266,2544,5782,5249,25443,40430,3491,389,1449,21113,1236,6691,10973,42,3531,3509,1278,3568,347,323,1338,1175,545,1492
2010-2014,B11005_8_nonfamily_households,287,35,95,237,616,1094,89,37,36,904,82,230,517,27,219,99,27,120,70,0,0,14,27,97
2010-2014,B11005_9_male_householder,151,23,82,143,403,755,54,22,36,593,62,176,359,27,142,35,27,51,26,0,0,2,9,86
2010-2014,B11005_10_female_householder,136,12,13,94,213,339,35,15,0,311,20,54,158,0,77,64,0,69,44,0,0,12,18,11
2010-2014,B11005_11_households_with_no_people_under_18_years,212070,19170,31619,55942,232363,196274,76144,3930,9970,247183,15099,55873,71712,2501,24811,23386,9347,51370,5971,3259,6858,7296,2441,13391
2010-2014,B11005_12_family_households,58538,11766,18281,32172,121097,94689,24527,2160,5912,135228,9246,32049,41899,1398,16035,15475,5188,16927,3141,1428,2449,4209,1239,7631
2010-2014,B11005_13_married-couple_family,37411,9655,14514,27012,98059,62532,20129,1924,5178,111984,8105,27478,34096,1275,13643,13564,4248,13827,2508,1186,1786,3345,1070,6572
2010-2014,B11005_14_other_family,21127,2111,3767,5160,23038,32157,4398,236,734,23244,1141,4571,7803,123,2392,1911,940,3100,633,242,663,864,169,1059
2010-2014,"B11005_15_male_householder,_no_wife_present",4991,758,894,1571,7001,9067,1962,36,201,7800,439,1420,2792,47,715,629,445,1297,159,51,229,265,67,359
2010-2014,"B11005_16_female_householder,_no_husband_present",16136,1353,2873,3589,16037,23090,2436,200,533,15444,702,3151,5011,76,1677,1282,495,1803,474,191,434,599,102,700
2010-2014,B11005_17_nonfamily_households,153532,7404,13338,23770,111266,101585,51617,1770,4058,111955,5853,23824,29813,1103,8776,7911,4159,34443,2830,1831,4409,3087,1202,5760
2010-2014,B11005_18_male_householder,68757,3469,5566,10333,44565,44840,25315,801,1823,51318,2718,11160,14191,577,3551,3790,2022,15491,1257,928,2031,1352,520,2848
2010-2014,B11005_19_female_householder,84775,3935,7772,13437,66701,56745,26302,969,2235,60637,3135,12664,15622,526,5225,4121,2137,18952,1573,903,2378,1735,682,2912
